set_number,LCT,set_read_index,north_south,site,marker_type,depth
14,Glyptocephalus zachirus,0.0122258839157113,S,80_SB_14,U,80
14,Leptoclinus maculatus,1,S,80_SB_14,E,80
14,Merluccius productus,0.231133771747458,S,80_SB_14,E,80
14,Merluccius productus,0.231133771747458,S,80_SB_14,U,80
14,Oncorhynchus gorbuscha,0.919348617087128,S,80_SB_14,U,80
14,Oncorhynchus nerka,0.0755198841690956,S,80_SB_14,U,80
14,Oncorhynchus nerka,0.0755198841690956,S,80_SB_14,E,80
14,Pholis laeta,1,S,80_SB_14,U,80
14,Phytichthys chirus,0.400204071586723,S,80_SB_14,E,80
14,Sebastes crameri,0.87941921966495,S,80_SB_14,E,80
14,Sebastes mystinus,1,S,80_SB_14,E,80
14,Squalus suckleyi,0.00119628772380525,S,80_SB_14,E,80
14,Thaleichthys pacificus,0.0849802231275317,S,80_SB_14,E,80
16,Anoplopoma fimbria,0.0138466456922039,S,0_SB_16,E,0
16,Anoplopoma fimbria,0.0138466456922039,S,0_SB_16,U,0
16,Clupea pallasii,0.580535544620076,S,0_SB_16,E,0
16,Clupea pallasii,0.580535544620076,S,0_SB_16,U,0
16,Eopsetta jordani,0.667506431548772,S,0_SB_16,E,0
16,Gadus/chalcogrammus,0.0166996585889834,S,0_SB_16,U,0
16,Gadus/chalcogrammus,0.0166996585889834,S,0_SB_16,E,0
16,Glyptocephalus zachirus,0.0158312546609193,S,0_SB_16,U,0
16,Glyptocephalus zachirus,0.0158312546609193,S,0_SB_16,E,0
16,Hippoglossoides elassodon,1,S,0_SB_16,E,0
16,Merluccius productus,0.201108196920412,S,0_SB_16,U,0
16,Merluccius productus,0.201108196920412,S,0_SB_16,E,0
16,Oncorhynchus gorbuscha,0.679399866495965,S,0_SB_16,U,0
16,Oncorhynchus keta,0.103121316977374,S,0_SB_16,U,0
16,Oncorhynchus kisutch,0.315671278703603,S,0_SB_16,E,0
16,Oncorhynchus nerka,0.0534848938314838,S,0_SB_16,U,0
16,Oncorhynchus nerka,0.0534848938314838,S,0_SB_16,E,0
16,Phytichthys chirus,0.541497956299727,S,0_SB_16,E,0
16,Sebastes alutus,0.20191318549,S,0_SB_16,E,0
16,Sebastes alutus,0.20191318549,S,0_SB_16,U,0
16,Sebastes caurinus/maliger,0.297295642326522,S,0_SB_16,E,0
16,Sebastes crameri,0.0344099634386132,S,0_SB_16,E,0
16,Squalus suckleyi,0.0159796458096397,S,0_SB_16,E,0
16,Thaleichthys pacificus,0.301672867141939,S,0_SB_16,E,0
16,Thaleichthys pacificus,0.301672867141939,S,0_SB_16,U,0
16,Xiphister atropurpureus/mucosus,0.0975104436324449,S,0_SB_16,U,0
2,Clupea pallasii,0.432321125156984,N,120_JS_2,E,120
2,Clupea pallasii,0.432321125156984,N,120_JS_2,U,120
2,Gadus/chalcogrammus,0.222748545676252,N,120_JS_2,U,120
2,Gadus/chalcogrammus,0.222748545676252,N,120_JS_2,E,120
2,Merluccius productus,0.543897445704957,N,120_JS_2,U,120
2,Sebastes alutus,1,N,120_JS_2,U,120
2,Sebastes alutus,1,N,120_JS_2,E,120
2,Sebastes caurinus/maliger,1,N,120_JS_2,U,120
2,Squalus suckleyi,0.0200903449851038,N,120_JS_2,E,120
3,Anoplopoma fimbria,0.0225432060440763,N,100_MI_3,E,100
3,Clupea pallasii,0.949593454784466,N,100_MI_3,E,100
3,Clupea pallasii,0.949593454784466,N,100_MI_3,U,100
3,Gadus/chalcogrammus,0.00143050111364883,N,100_MI_3,U,100
3,Merluccius productus,0.717295441523583,N,100_MI_3,U,100
4,Clupea pallasii,0.979399938340844,N,115_MI_4,U,115
4,Clupea pallasii,0.979399938340844,N,115_MI_4,E,115
4,Merluccius productus,0.644471194335959,N,115_MI_4,U,115
5,Clupea pallasii,1,N,100_JS_5,U,100
7,Clupea pallasii,1,N,140_JS_7,E,140
7,Oncorhynchus nerka,0.318727383468883,N,140_JS_7,U,140
7,Sebastes crameri,1,N,140_JS_7,U,140
8,Clupea pallasii,0.905858599727574,S,80_JF_8,E,80
8,Clupea pallasii,0.905858599727574,S,80_JF_8,U,80
8,Oncorhynchus keta,1,S,80_JF_8,E,80
8,Sebastes entomelas,0.0163110222228489,S,80_JF_8,U,80
8,Thaleichthys pacificus,0.139845963583987,S,80_JF_8,E,80
9,Anoplopoma fimbria,0.145385587327881,S,120_JF_9,U,120
9,Clupea pallasii,0.89100114019326,S,120_JF_9,E,120
9,Clupea pallasii,0.89100114019326,S,120_JF_9,U,120
9,Merluccius productus,0.806108178502613,S,120_JF_9,U,120
9,Oncorhynchus nerka,0.0404808498741963,S,120_JF_9,U,120
9,Sebastes crameri,1,S,120_JF_9,E,120
9,Thaleichthys pacificus,0.0890384509295526,S,120_JF_9,E,120
