set_number,LCT,set_read_index,species_pa,depth,north_south
14,Thaleichthys pacificus,1.52964401629557,1,80,S
16,Anoplopoma fimbria,0.415399370766117,1,0,S
16,Clupea pallasii,94.0467582284523,1,0,S
16,Eopsetta jordani,4.00503858929263,1,0,S
16,Gadus/chalcogrammus,0.951880539572051,1,0,S
16,Glyptocephalus zachirus,0.712406459741369,1,0,S
16,Hippoglossoides elassodon,3,1,0,S
16,Merluccius productus,4.22327213532865,1,0,S
16,Oncorhynchus gorbuscha,12.2291975969274,1,0,S
16,Oncorhynchus keta,0.618727901864243,1,0,S
16,Oncorhynchus kisutch,2.84104150833243,1,0,S
16,Oncorhynchus nerka,1.60454681494451,1,0,S
16,Phytichthys chirus,9.74696321339509,1,0,S
16,Sebastes alutus,3.63443733882001,1,0,S
16,Sebastes caurinus/maliger,0.891886926979565,1,0,S
16,Sebastes crameri,0.10322989031584,1,0,S
16,Squalus suckleyi,1.15053449829406,1,0,S
16,Thaleichthys pacificus,10.8602232171098,1,0,S
16,Xiphister atropurpureus/mucosus,0.585062661794669,1,0,S
2,Clupea pallasii,46.6906815169542,1,120,N
2,Gadus/chalcogrammus,12.0284214665176,1,120,N
2,Merluccius productus,1.63169233711487,1,120,N
2,Sebastes alutus,6,1,120,N
2,Sebastes caurinus/maliger,3,1,120,N
2,Squalus suckleyi,0.482168279642491,1,120,N
3,Anoplopoma fimbria,0.202888854396687,1,100,N
3,Clupea pallasii,102.556093116722,1,100,N
3,Gadus/chalcogrammus,0.0300405233866254,1,100,N
3,Merluccius productus,4.3037726491415,1,100,N
4,Clupea pallasii,105.775193340811,1,115,N
4,Merluccius productus,1.93341358300788,1,115,N
5,Clupea pallasii,18,1,100,N
7,Clupea pallasii,36,1,140,N
7,Oncorhynchus nerka,1.9123643008133,1,140,N
7,Sebastes crameri,3,1,140,N
8,Clupea pallasii,97.832728770578,1,80,S
8,Oncorhynchus keta,3,1,80,S
8,Sebastes entomelas,0.0489330666685468,1,80,S
8,Thaleichthys pacificus,2.51722734451176,1,80,S
9,Anoplopoma fimbria,0.436156761983642,1,120,S
9,Clupea pallasii,96.2281231408721,1,120,S
9,Merluccius productus,4.83664907101568,1,120,S
9,Oncorhynchus nerka,0.242885099245178,1,120,S
9,Sebastes crameri,3,1,120,S
9,Thaleichthys pacificus,0.801346058365974,1,120,S
