kingdom,phylum,class,order,family,genus,species,subspecies,gbif_query,query,taxo_query_level,higher_taxo_source,worms_query
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV201,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV210,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV212,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV213,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV221,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV227,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV230,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV237,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV241,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV259,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV263,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV269,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV274,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV305,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV307,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV318,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV353,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV374,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV378,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV393,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV400,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV404,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV407,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV410,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV411,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV412,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV418,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV437,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV450,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV461,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV468,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV486,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV492,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV500,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV502,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV510,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV511,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV546,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV552,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV554,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV558,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV560,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV574,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV585,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV587,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV590,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV604,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV606,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV615,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV621,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV644,species,gbif,NA
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,NA,4284072,ASV700,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV2,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV9,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV36,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV48,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV69,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV76,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV82,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV116,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV150,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV152,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV154,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV159,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV168,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV170,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV173,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV187,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV198,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV204,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV216,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV220,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV222,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV235,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV238,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV239,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV240,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV242,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV246,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV247,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV264,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV265,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV266,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV270,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV316,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV317,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV326,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV332,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV347,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV348,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV350,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV363,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV364,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV369,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV377,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV383,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV385,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV396,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV397,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV399,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV413,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV419,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV421,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV426,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV432,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV436,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV449,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV462,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV464,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV479,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV480,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV481,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV482,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV491,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV521,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV528,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV530,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV533,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV534,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV539,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV548,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV561,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV565,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV566,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV569,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV571,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV588,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV596,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV599,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV603,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV618,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV635,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV643,species,gbif,NA
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,NA,5216368,ASV669,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV3,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV39,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV42,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV58,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV65,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV73,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV101,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV105,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV110,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV114,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV117,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV122,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV131,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV139,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV143,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV146,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV147,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV148,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV164,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV174,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV182,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV202,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV225,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV231,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV252,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV278,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV289,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV303,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV315,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV327,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV338,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV341,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV346,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV349,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV351,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV359,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV403,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV420,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV442,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV444,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV445,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV447,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV466,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV470,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV496,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV501,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV506,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV508,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV527,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV536,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV537,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV542,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV572,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV575,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV591,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV593,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV625,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV647,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV656,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV659,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV664,species,gbif,NA
Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,2436436,ASV668,species,gbif,NA
