common_name,date,trawl,sample_id,catch_count,length_type,length_cm,weight_kg,sex,fa_sample,comments,recorder,fish_processing_personnel,size_class,species,kingdom,phylum,class,order,family,genus,level
Clawed Armhook,2018-08-08,8,1256,251,Total,6,0.01,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Clawed Armhooked Squid,2018-08-12,14,3132,111,Mantle,3.1,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Clawed Armhooked Squid,2018-08-11,13,2861,252,Mantle,4.2,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Clawed Armhooked Squid,2018-08-11,13,2860,251,Mantle,6.2,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Glass Shrimp,2018-08-10,11,1937,48,Total,6.8,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Glass Shrimp,2018-08-10,11,1938,49,Total,6.2,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Glass Shrimp,2018-08-10,11,1942,53,Total,5.7,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Glass Shrimp,2018-08-10,11,1939,50,Total,5.8,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Glass Shrimp,2018-08-10,11,1940,51,Total,5.9,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Glass Shrimp,2018-08-10,11,1941,52,Total,6.3,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Glass Shrimp,2018-08-10,11,1943,54,Total,5.9,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Glass Shrimp,2018-08-10,11,1936,47,Total,7.1,0.002,NA,NA,Measurements from front of eye to end of 6th segment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Hermit Crab,2018-08-08,9,1642,386,Total,1.6,0.002,NA,NA,Length includes shell plus crab diameter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,12,2603,638,Total,5.7,NA,NA,NA,Too small to weigh.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,12,2604,639,Total,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,12,2605,640,Total,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,12,2606,641,Total,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2875,266,Total,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2876,267,Total,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2877,268,Total,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2878,269,Total,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2879,270,Total,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2880,271,Total,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2881,272,Total,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2882,273,Total,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2883,274,Total,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2870,261,Total,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2871,262,Total,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2873,264,Total,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2874,265,Total,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2884,275,Total,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2885,276,Total,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2886,277,Total,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2862,253,Total,4.5,NA,NA,NA,Too small to weigh; likely eulachon larvae (according to Joe),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2863,254,Total,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2864,255,Total,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2865,256,Total,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2866,257,Total,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2867,258,Total,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2868,259,Total,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2869,260,Total,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2872,263,Total,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2887,278,Total,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2891,282,Total,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2888,279,Total,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2889,280,Total,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Sand Lance,2018-08-11,13,2890,281,Total,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Larval Squid,2018-08-14,16,3280,259,Mantle,1.7,NA,NA,NA,Too small to weigh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Lion's Mane Jelly,2018-08-01,1,5,5,Total,14.1,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Lion's Mane Jelly,2018-08-02,4,474,226,Total,24.3,0.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Lion's Mane Jelly,2018-08-02,4,475,227,Total,33,1.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Lion's Mane Jelly,2018-08-02,4,476,228,Total,23.8,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Lion's Mane Jelly,2018-08-02,3,239,104,Total,NA,2.556,NA,NA,shredded by trawl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Opalescent Inshore Squid,2018-08-04,6,764,202,Total,3.4,NA,NA,NA,mantle length,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Opalescent Inshore Squid,2018-08-04,6,765,203,Total,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Opalescent Inshore Squid,2018-08-11,12,2533,568,Mantle,4.8,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Opalescent Inshore Squid,2018-08-04,7,811,17,Mantle,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Opalescent Inshore Squid,2018-08-04,7,812,18,Mantle,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Opalescent Inshore Squid,2018-08-13,15,3264,243,Mantle,10.1,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Opalescent Inshore Squid,2018-08-13,15,3265,244,Mantle,8.7,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Opalescent Inshore Squid,2018-08-11,12,2532,567,Mantle,4.7,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Opalescent Inshore Squid,2018-08-11,12,2531,566,Mantle,9.4,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,84,64,Total,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,85,65,Total,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,86,66,Total,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,87,67,Total,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,88,68,Total,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,58,38,Total,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,59,39,Total,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,60,40,Total,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,61,41,Total,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,62,42,Total,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,63,43,Total,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,64,44,Total,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,65,45,Total,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,66,46,Total,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,67,47,Total,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,68,48,Total,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,69,49,Total,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,70,50,Total,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,71,51,Total,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,72,52,Total,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,73,53,Total,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,74,54,Total,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,75,55,Total,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,76,56,Total,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,77,57,Total,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,78,58,Total,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,79,59,Total,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,80,60,Total,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,81,61,Total,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,82,62,Total,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-01,2,83,63,Total,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,954,160,Total,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,955,161,Total,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,956,162,Total,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,957,163,Total,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,958,164,Total,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,945,151,Total,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,972,178,Total,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,973,179,Total,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1945,56,Total,4.4,NA,NA,NA,Additional 3 broken bodies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1946,57,Total,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,946,152,Total,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,947,153,Total,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,948,154,Total,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,949,155,Total,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,950,156,Total,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,951,157,Total,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,952,158,Total,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,970,176,Total,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,971,177,Total,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1947,58,Total,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,953,159,Total,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1965,76,Total,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,969,175,Total,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,959,165,Total,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,960,166,Total,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,961,167,Total,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,962,168,Total,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,963,169,Total,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,964,170,Total,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,965,171,Total,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-04,7,966,172,Total,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1944,55,Total,4.9,NA,NA,NA,Measurements from front of eye to end of 6th segment; too small to weigh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1948,59,Total,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1949,60,Total,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1950,61,Total,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1964,75,Total,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1960,71,Total,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1963,74,Total,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1951,62,Total,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1957,68,Total,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1959,70,Total,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1961,72,Total,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
Pasiphaea pacifica,2018-08-10,11,1954,65,Total,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_fish
