Date,Trawl,Sample_ID,Catch_count,Species,Length_type,Length_cm,Weight_kg,Sex,FA_Sample,Comments,Recorder,Fish Processing Personnel,,
18-08-01,2,36,16,Yellowtail Rockfish,Total,42.3,1.164,,,,,,,
18-08-01,2,37,17,Yellowtail Rockfish,Total,41.5,1.080,,,,,,,
18-08-01,2,38,18,Yellowtail Rockfish,Total,34.5,0.584,,,,,,,
18-08-01,2,39,19,Yellowtail Rockfish,Total,49.1,1.498,,,,,,,
18-08-01,2,40,20,Yellowtail Rockfish,Total,43,1.048,,,,,,,
18-08-01,2,41,21,Yellowtail Rockfish,Total,46.2,1.424,,,,,,,
18-08-01,2,42,22,Yellowtail Rockfish,Total,43.2,1.164,,,,,,,
18-08-01,2,43,23,Yellowtail Rockfish,Total,43.9,1.156,,,,,,,
18-08-01,2,44,24,Widow Rockfish,Total,41.7,0.878,,,,,,,
18-08-01,2,45,25,Spiny Dogfish,Total,76.2,1.718,M,,,,,,
18-08-01,2,46,26,Shrimp A,Total,3.1,,,,,,,,
18-08-01,2,47,27,Shrimp A,Total,2.5,,,,,,,,
18-08-01,2,48,28,Shrimp A,Total,1.5,,,,,,,,
18-08-01,2,49,29,Shrimp A,Total,3.5,,,,,,,,
18-08-01,2,50,30,Shrimp A,Total,2.7,,,,,,,,
18-08-01,2,51,31,Shrimp A,Total,2.1,,,,,,,,
18-08-01,2,52,32,Shrimp A,Total,3.4,,,,,,,,
18-08-01,2,53,33,Shrimp A,Total,2.9,,,,,,,,
18-08-01,2,54,34,Shrimp A,Total,2.7,,,,,,,,
18-08-01,2,55,35,Shrimp A,Total,2.7,,,,,,,,
18-08-01,2,56,36,Shrimp A,Total,2.5,,,,,,,,
18-08-01,2,57,37,Shrimp A,Total,2.4,,,,,,,,
18-08-01,2,58,38,Shrimp B,Total,2.6,,,,,,,,
18-08-01,2,59,39,Shrimp B,Total,2.7,,,,,,,,
18-08-01,2,60,40,Shrimp B,Total,2.2,,,,,,,,
18-08-01,2,61,41,Shrimp B,Total,2.2,,,,,,,,
18-08-01,2,62,42,Shrimp B,Total,2.2,,,,,,,,
18-08-01,2,63,43,Shrimp B,Total,2.4,,,,,,,,
18-08-01,2,64,44,Shrimp B,Total,3.7,,,,,,,,
18-08-01,2,65,45,Shrimp B,Total,2.4,,,,,,,,
18-08-01,2,66,46,Shrimp B,Total,2.4,,,,,,,,
18-08-01,2,67,47,Shrimp B,Total,2.3,,,,,,,,
18-08-01,2,68,48,Shrimp B,Total,2.4,,,,,,,,
18-08-01,2,69,49,Shrimp B,Total,2.4,,,,,,,,
18-08-01,2,70,50,Shrimp B,Total,2.3,,,,,,,,
18-08-01,2,71,51,Shrimp B,Total,2.4,,,,,,,,
18-08-01,2,72,52,Shrimp B,Total,2.2,,,,,,,,
18-08-01,2,73,53,Shrimp B,Total,2.6,,,,,,,,
18-08-01,2,74,54,Shrimp B,Total,2.5,,,,,,,,
18-08-01,2,75,55,Shrimp B,Total,2.4,,,,,,,,
18-08-01,2,76,56,Shrimp B,Total,2.3,,,,,,,,
18-08-01,2,77,57,Shrimp B,Total,2.5,,,,,,,,
18-08-01,2,78,58,Shrimp B,Total,2.4,,,,,,,,
18-08-01,2,79,59,Shrimp B,Total,2.4,,,,,,,,
18-08-01,2,80,60,Shrimp B,Total,2.5,,,,,,,,
18-08-01,2,81,61,Shrimp B,Total,2.3,,,,,,,,
18-08-01,2,82,62,Shrimp B,Total,2.5,,,,,,,,
18-08-01,2,83,63,Shrimp B,Total,2.3,,,,,,,,
18-08-01,2,84,64,Shrimp B,Total,2.5,,,,,,,,
18-08-01,2,85,65,Shrimp B,Total,2.3,,,,,,,,
18-08-01,2,86,66,Shrimp B,Total,2.4,,,,,,,,
18-08-01,2,87,67,Shrimp B,Total,2.2,,,,,,,,
18-08-01,2,88,68,Shrimp B,Total,3.5,,,,,,,,
18-08-01,2,89,69,Shrimp C,Total,3.6,,,,,,,,
18-08-01,2,90,70,Shrimp C,Total,4.1,,,,,,,,
18-08-01,2,91,71,Shrimp C,Total,4.6,,,,,,,,
18-08-01,2,92,72,Shrimp C,Total,4.2,,,,,,,,
18-08-01,2,93,73,Shrimp C,Total,3.8,,,,,,,,
18-08-01,2,94,74,Shrimp C,Total,5.2,,,,,,,,
18-08-01,2,95,75,Shrimp C,Total,3.5,,,,,,,,
18-08-01,2,96,76,Shrimp C,Total,4,,,,,,,,
18-08-01,2,97,77,Shrimp C,Total,3.3,,,,,,,,
18-08-01,2,98,78,Shrimp C,Total,3.2,,,,,,,,
18-08-01,2,99,79,Shrimp C,Total,4,,,,,,,,
18-08-01,2,100,80,Shrimp C,Total,4.7,,,,,,,,
18-08-01,2,101,81,Shrimp C,Total,3.9,,,,,,,,
18-08-01,2,102,82,Shrimp C,Total,3.9,,,,,,,,
18-08-01,2,103,83,Shrimp C,Total,3.5,,,,,,,,
18-08-01,2,104,84,Shrimp C,Total,3.9,,,,,,,,
18-08-01,2,105,85,Euphausiid spp,Total,1.9,,,,,,,,
18-08-01,2,106,86,Euphausiid spp,Total,1.9,,,,,,,,
18-08-01,2,107,87,Euphausiid spp,Total,2.6,,,,,,,,
18-08-01,2,108,88,Euphausiid spp,Total,2.3,,,,,,,,
18-08-01,2,109,89,Euphausiid spp,Total,2.5,,,,,,,,
18-08-01,2,110,90,Euphausiid spp,Total,2.3,,,,,,,,
18-08-01,2,111,91,Euphausiid spp,Total,2.6,,,,,,,,
18-08-01,2,112,92,Euphausiid spp,Total,2.5,,,,,,,,
18-08-01,2,113,93,Euphausiid spp,Total,1.9,,,,,,,,
18-08-01,2,114,94,Euphausiid spp,Total,2.2,,,,,,,,
18-08-01,2,115,95,Euphausiid spp,Total,2.2,,,,,,,,
18-08-01,2,116,96,Euphausiid spp,Total,2.3,,,,,,,,
18-08-01,2,117,97,Euphausiid spp,Total,1.9,,,,,,,,
18-08-01,2,118,98,Euphausiid spp,Total,2.3,,,,,,,,
18-08-01,2,119,99,Euphausiid spp,Total,2.5,,,,,,,,
18-08-01,2,120,100,Euphausiid spp,Total,2.5,,,,,,,,
18-08-01,2,121,101,Euphausiid spp,Total,2.3,,,,,,,,
18-08-01,2,122,102,Euphausiid spp,Total,2.2,,,,,,,,
18-08-01,2,123,103,Euphausiid spp,Total,2.6,,,,,,,,
18-08-01,2,124,104,Euphausiid spp,Total,2.5,,,,,,,,
18-08-01,2,125,105,Euphausiid spp,Total,2.8,,,,,,,,
18-08-01,2,126,106,Euphausiid spp,Total,2.2,,,,,,,,
18-08-01,2,127,107,Euphausiid spp,Total,2.5,,,,,,,,
18-08-01,2,128,108,Euphausiid spp,Total,2.6,,,,,,,,
18-08-01,2,129,109,Euphausiid spp,Total,2.1,,,,,,,,
18-08-01,2,130,110,Euphausiid spp,Total,2,,,,,,,,
18-08-01,2,131,111,Euphausiid spp,Total,1.5,,,,,,,,
18-08-01,2,132,112,Euphausiid spp,Total,2.3,,,,,,,,
18-08-01,2,133,113,Euphausiid spp,Total,2.1,,,,,,,,
18-08-01,2,134,114,Euphausiid spp,Total,2.1,,,,,,,,
18-08-01,2,135,115,Euphausiid spp,Total,2,,,,,,,,
18-08-02,3,136,1,Pacific Herring,Fork,16.0,0.038,,,,,,,
18-08-02,3,137,2,Pacific Herring,Fork,14.6,0.030,,,,,,,
18-08-02,3,138,3,Pacific Herring,Fork,13.9,0.028,,,,,,,
18-08-02,3,139,4,Pacific Herring,Fork,13.4,0.024,,,,,,,
18-08-02,3,140,5,Pacific Herring,Fork,13.3,0.024,,,,,,,
18-08-02,3,141,6,Pacific Herring,Fork,14.7,0.028,,,,,,,
18-08-02,3,142,7,Pacific Herring,Fork,13.5,0.024,,,,,,,
18-08-02,3,143,8,Pacific Herring,Fork,13.1,0.022,,,,,,,
18-08-02,3,144,9,Pacific Herring,Fork,14.7,0.032,,,,,,,
18-08-02,3,145,10,Pacific Herring,Fork,13.9,0.026,,,,,,,
18-08-02,3,146,11,Pacific Herring,Fork,13.7,0.024,,,,,,,
18-08-02,3,147,12,Pacific Herring,Fork,14.6,0.032,,,,,,,
18-08-02,3,148,13,Pacific Herring,Fork,13.0,0.020,,,,,,,
18-08-02,3,149,14,Pacific Herring,Fork,14.0,0.028,,,,,,,
18-08-02,3,150,15,Pacific Herring,Fork,12.8,0.020,,,,,,,
18-08-02,3,151,16,Pacific Herring,Fork,13.6,0.026,,,,,,,
18-08-02,3,152,17,Pacific Herring,Fork,16.6,0.048,,,,,,,
18-08-02,3,153,18,Pacific Herring,Fork,14.8,0.032,,,,,,,
18-08-02,3,154,19,Pacific Herring,Fork,14.5,0.030,,,,,,,
18-08-02,3,155,20,Pacific Herring,Fork,14.0,0.028,,,,,,,
18-08-02,3,156,21,Pacific Herring,Fork,13.7,0.024,,,,,,,
18-08-02,3,157,22,Pacific Herring,Fork,14.1,0.026,,,,,,,
18-08-02,3,158,23,Pacific Herring,Fork,13.5,0.024,,,,,,,
18-08-02,3,159,24,Pacific Herring,Fork,14.2,0.032,,,,,,,
18-08-02,3,160,25,Pacific Herring,Fork,14.6,0.030,,,,,,,
18-08-02,3,161,26,Pacific Herring,Fork,13.3,0.024,,,,,,,
18-08-02,3,162,27,Pacific Herring,Fork,13.4,0.022,,,,,,,
18-08-02,3,163,28,Pacific Herring,Fork,14.2,0.028,,,,,,,
18-08-02,3,164,29,Pacific Herring,Fork,15.1,0.036,,,,,,,
18-08-02,3,165,30,Pacific Herring,Fork,13.5,0.026,,,,,,,
18-08-02,3,166,31,Pacific Herring,Fork,13.0,0.022,,,,,,,
18-08-02,3,167,32,Pacific Herring,Fork,15.0,0.030,,,,,,,
18-08-02,3,168,33,Pacific Herring,Fork,14.5,0.030,,,,,,,
18-08-02,3,169,34,Pacific Herring,Fork,14.8,0.028,,,,,,,
18-08-02,3,170,35,Pacific Herring,Fork,14.3,0.030,,,,,,,
18-08-02,3,171,36,Pacific Herring,Fork,15.9,0.042,,,,,,,
18-08-02,3,172,37,Pacific Herring,Fork,14.5,0.028,,,,,,,
18-08-02,3,173,38,Pacific Herring,Fork,14.2,0.028,,,,,,,
18-08-02,3,174,39,Pacific Herring,Fork,13.1,0.022,,,,,,,
18-08-02,3,175,40,Pacific Herring,Fork,13.9,0.026,,,,,,,
18-08-02,3,176,41,Pacific Herring,Fork,15.2,0.034,,,,,,,
18-08-02,3,177,42,Pacific Herring,Fork,14.9,0.032,,,,,,,
18-08-02,3,178,43,Pacific Herring,Fork,14.0,0.028,,,,,,,
18-08-02,3,179,44,Pacific Herring,Fork,13.3,0.022,,,,,,,
18-08-02,3,180,45,Pacific Herring,Fork,13.4,0.024,,,,,,,
18-08-02,3,181,46,Pacific Herring,Fork,13.1,0.022,,,,,,,
18-08-02,3,182,47,Pacific Herring,Fork,15.7,0.038,,,,,,,
18-08-02,3,183,48,Pacific Herring,Fork,13.7,0.024,,,,,,,
18-08-02,3,184,49,Pacific Herring,Fork,14.7,0.030,,,,,,,
18-08-02,3,185,50,Pacific Herring,Fork,15.1,0.034,,,,,,,
18-08-02,3,186,51,Pacific Herring,Fork,14.7,0.034,,,,,,,
18-08-02,3,187,52,Pacific Herring,Fork,14.1,0.026,,,,,,,
18-08-02,3,188,53,Pacific Herring,Fork,13.4,0.022,,,,,,,
18-08-02,3,189,54,Pacific Herring,Fork,15.2,0.034,,,,,,,
18-08-02,3,190,55,Pacific Herring,Fork,14.2,0.030,,,,,,,
18-08-02,3,191,56,Pacific Herring,Fork,14.0,0.028,,,,,,,
18-08-02,3,192,57,Pacific Herring,Fork,16.0,0.038,,,,,,,
18-08-02,3,193,58,Pacific Herring,Fork,14.4,0.032,,,,,,,
18-08-02,3,194,59,Pacific Herring,Fork,14.2,0.030,,,,,,,
18-08-02,3,195,60,Pacific Herring,Fork,13.1,0.022,,,,,,,
18-08-02,3,196,61,Pacific Herring,Fork,13.5,0.022,,,,,,,
18-08-02,3,197,62,Pacific Herring,Fork,13.5,0.024,,,,,,,
18-08-02,3,198,63,Pacific Herring,Fork,14.5,0.030,,,,,,,
18-08-02,3,199,64,Pacific Herring,Fork,13.2,0.024,,,,,,,
18-08-02,3,200,65,Pacific Herring,Fork,13.2,0.024,,,,,,,
18-08-02,3,201,66,Pacific Herring,Fork,18.0,0.062,,,,,,,
18-08-02,3,202,67,Pacific Herring,Fork,17.2,0.050,,,,,,,
18-08-02,3,203,68,Pacific Herring,Fork,15.2,0.038,,,,,,,
18-08-02,3,204,69,Pacific Herring,Fork,13.2,0.020,,,,,,,
18-08-02,3,205,70,Pacific Herring,Fork,15.0,0.032,,,,,,,
18-08-02,3,206,71,Pacific Herring,Fork,13.1,0.024,,,,,,,
18-08-02,3,207,72,Pacific Herring,Fork,14.7,0.032,,,,,,,
18-08-02,3,208,73,Pacific Herring,Fork,14.5,0.032,,,,,,,
18-08-02,3,209,74,Pacific Herring,Fork,14.1,0.028,,,,,,,
18-08-02,3,210,75,Pacific Herring,Fork,13.8,0.026,,,,,,,
18-08-02,3,211,76,Pacific Herring,Fork,13.5,0.026,,,,,,,
18-08-02,3,212,77,Pacific Herring,Fork,14.4,0.030,,,,,,,
18-08-02,3,213,78,Pacific Herring,Fork,14.0,0.026,,,,,,,
18-08-02,3,214,79,Pacific Herring,Fork,13.8,0.026,,,,,,,
18-08-02,3,215,80,Pacific Herring,Fork,13.7,0.028,,,,,,,
18-08-02,3,216,81,Pacific Herring,Fork,12.7,0.022,,,,,,,
18-08-02,3,217,82,Pacific Herring,Fork,13.3,0.024,,,,,,,
18-08-02,3,218,83,Pacific Herring,Fork,13.1,0.022,,,,,,,
18-08-02,3,219,84,Pacific Herring,Fork,13.3,0.026,,,,,,,
18-08-02,3,220,85,Pacific Herring,Fork,13.7,0.024,,,,,,,
18-08-02,3,221,86,Pacific Herring,Fork,12.7,0.022,,,,,,,
18-08-02,3,222,87,Pacific Herring,Fork,14.6,0.028,,,,,,,
18-08-02,3,223,88,Pacific Herring,Fork,13.1,0.020,,,,,,,
18-08-02,3,224,89,Pacific Herring,Fork,13.0,0.024,,,,,,,
18-08-02,3,225,90,Pacific Herring,Fork,14.1,0.030,,,,,,,
18-08-02,3,226,91,Pacific Herring,Fork,14.8,0.030,,,,,,,
18-08-02,3,227,92,Pacific Herring,Fork,13.6,0.026,,,,,,,
18-08-02,3,228,93,Pacific Herring,Fork,14.3,0.030,,,,,,,
18-08-02,3,229,94,Pacific Herring,Fork,15.0,0.034,,,,,,,
18-08-02,3,230,95,Pacific Herring,Fork,13.5,0.026,,,,,,,
18-08-02,3,231,96,Pacific Herring,Fork,14.3,0.032,,,,,,,
18-08-02,3,232,97,Pacific Herring,Fork,13.5,0.026,,,,,,,
18-08-02,3,233,98,Pacific Herring,Fork,13.9,0.028,,,,,,,
18-08-02,3,234,99,Pacific Herring,Fork,13.8,0.030,,,,,,,
18-08-02,3,235,100,Pacific Herring,Fork,13.2,0.024,,,,,,,
18-08-02,3,236,101,Walleye Pollock,Total,38.9,0.558,,,,,,,
18-08-02,3,237,102,Spiny Dogfish,Total,32.7,0.154,F,,,,,,
18-08-02,3,238,103,Spiny Dogfish,Total,54.5,0.652,F,,,,,,
18-08-02,3,239,104,Lion's Mane Jelly,Total,,2.556,,,shredded by trawl,,,,
18-08-02,3,240,105,Water Jelly,Total,6.4,0.022,,,,,,,
18-08-02,3,241,106,Pacific Herring,Total,14.0,0.024,,Y,**check with Wade,,,,
18-08-02,3,242,107,Pacific Herring,Total,14.1,0.028,,Y,**check with Wade,,,,
18-08-02,3,243,108,Night Smelt,Total,15.3,0.028,,,**check with Wade,,,,
18-08-02,3,244,109,Eulachon,Fork,14.6,0.022,,,,,,,
18-08-02,3,245,110,Eulachon,Fork,14.2,0.022,,,,,,,
18-08-02,3,246,111,Eulachon,Fork,10.6,,,,,,,,
18-08-02,3,247,112,Eulachon,Fork,10.2,,,,,,,,
18-08-02,3,248,113,Eulachon,Fork,9.8,,,,,,,,
18-08-02,3,249,114,Eulachon,Fork,9.0,,,,,,,,
18-08-02,4,250,1,Coho Salmon,Fork,63.1,3.188,M,Y,,,,,
18-08-02,4,251,2,Pacific Hake,Total,47.5,0.774,,Y,,,,,
18-08-02,4,252,3,Pacific Herring,Fork,10.5,0.010,,,,,,,
18-08-02,4,253,4,Pacific Herring,Fork,14.6,0.028,,,,,,,
18-08-02,4,254,5,Pacific Herring,Fork,13.7,0.020,,,,,,,
18-08-02,4,255,6,Pacific Herring,Fork,14.0,0.026,,,,,,,
18-08-02,4,256,7,Pacific Herring,Fork,13.5,0.022,,,,,,,
18-08-02,4,257,8,Pacific Herring,Fork,14.1,0.026,,,,,,,
18-08-02,4,258,9,Pacific Herring,Fork,10.1,0.008,,,,,,,
18-08-02,4,259,10,Pacific Herring,Fork,13.5,0.022,,,,,,,
18-08-02,4,260,11,Pacific Herring,Fork,12.6,0.020,,,,,,,
18-08-02,4,261,12,Capelin,Fork,9.2,,,,,,,,
18-08-02,4,262,13,Spiny Dogfish,Total,63.8,0.898,M,,,,,,
18-08-02,4,263,14,Spiny Dogfish,Total,83.7,1.930,M,,,,,,
18-08-02,4,264,15,Spiny Dogfish,Total,64.1,0.904,M,,,,,,
18-08-02,4,265,16,Spiny Dogfish,Total,52.8,0.528,M,,,,,,
18-08-02,4,266,17,Spiny Dogfish,Total,30.2,0.130,F,,,,,,
18-08-02,4,267,18,Spiny Dogfish,Total,50.2,0.452,M,,,,,,
18-08-02,4,268,19,Spiny Dogfish,Total,64.6,1.100,F,,,,,,
18-08-02,4,269,20,Spiny Dogfish,Total,48.0,0.448,M,,,,,,
18-08-02,4,270,21,Spiny Dogfish,Total,35.2,0.186,F,,,,,,
18-08-02,4,271,22,Spiny Dogfish,Total,53.8,0.602,F,,,,,,
18-08-02,4,272,23,Spiny Dogfish,Total,57.1,0.704,F,,,,,,
18-08-02,4,273,25,Walleye Pollock,Total,42.2,0.762,,,No sample for count 24,,,,
18-08-02,4,274,26,Walleye Pollock,Total,24.4,0.110,,,,,,,
18-08-02,4,275,27,Walleye Pollock,Total,34.3,0.298,,,,,,,
18-08-02,4,276,28,Walleye Pollock,Total,35.6,0.398,,,,,,,
18-08-02,4,277,29,Walleye Pollock,Total,40.8,0.500,,,,,,,
18-08-02,4,278,30,Walleye Pollock,Total,36.4,0.428,,,,,,,
18-08-02,4,279,31,Walleye Pollock,Total,37.0,0.372,,,,,,,
18-08-02,4,280,32,Walleye Pollock,Total,39.1,0.452,,,,,,,
18-08-02,4,281,33,Walleye Pollock,Total,36.5,0.430,,,,,,,
18-08-02,4,282,34,Walleye Pollock,Total,30.5,0.236,,,,,,,
18-08-02,4,283,35,Walleye Pollock,Total,34.8,0.374,,,,,,,
18-08-02,4,284,36,Walleye Pollock,Total,31.9,0.272,,,,,,,
18-08-02,4,285,37,Walleye Pollock,Total,46.8,0.938,,,,,,,
18-08-02,4,286,38,Walleye Pollock,Total,36.7,0.354,,,,,,,
18-08-02,4,287,39,Walleye Pollock,Total,34.6,0.346,,,,,,,
18-08-02,4,288,40,Walleye Pollock,Total,34.3,0.352,,,,,,,
18-08-02,4,289,41,Walleye Pollock,Total,38.7,0.470,,,,,,,
18-08-02,4,290,42,Walleye Pollock,Total,34.1,0.346,,,,,,,
18-08-02,4,291,43,Walleye Pollock,Total,38.7,0.424,,,,,,,
18-08-02,4,292,44,Walleye Pollock,Total,41.9,0.610,,,,,,,
18-08-02,4,293,45,Walleye Pollock,Total,32.9,0.260,,,,,,,
18-08-02,4,294,46,Walleye Pollock,Total,33.2,0.348,,,,,,,
18-08-02,4,295,47,Walleye Pollock,Total,32.5,0.284,,,,,,,
18-08-02,4,296,48,Walleye Pollock,Total,40.2,0.548,,,,,,,
18-08-02,4,297,49,Walleye Pollock,Total,37.4,0.422,,,,,,,
18-08-02,4,298,50,Walleye Pollock,Total,38.2,0.492,,,,,,,
18-08-02,4,299,51,Walleye Pollock,Total,37.2,0.454,,,,,,,
18-08-02,4,300,52,Walleye Pollock,Total,42.9,0.602,,,,,,,
18-08-02,4,301,53,Walleye Pollock,Total,44.8,0.712,,,,,,,
18-08-02,4,302,54,Walleye Pollock,Total,36.9,0.374,,,,,,,
18-08-02,4,303,55,Walleye Pollock,Total,48.2,0.760,,,,,,,
18-08-02,4,304,56,Walleye Pollock,Total,39.5,0.508,,,,,,,
18-08-02,4,305,57,Walleye Pollock,Total,41.6,0.584,,,,,,,
18-08-02,4,306,58,Walleye Pollock,Total,37.2,0.446,,,,,,,
18-08-02,4,307,59,Walleye Pollock,Total,35.2,0.382,,,,,,,
18-08-02,4,308,60,Walleye Pollock,Total,37.2,0.428,,,,,,,
18-08-02,4,309,61,Walleye Pollock,Total,46.3,0.804,,,,,,,
18-08-02,4,310,62,Walleye Pollock,Total,39.6,0.484,,,,,,,
18-08-02,4,311,63,Walleye Pollock,Total,37.6,0.506,,,,,,,
18-08-02,4,312,64,Walleye Pollock,Total,37.7,0.460,,,,,,,
18-08-02,4,313,65,Walleye Pollock,Total,48.2,1.088,,,,,,,
18-08-02,4,314,66,Walleye Pollock,Total,35.3,0.350,,,,,,,
18-08-02,4,315,67,Walleye Pollock,Total,34.1,0.386,,,,,,,
18-08-02,4,316,68,Walleye Pollock,Total,36.6,0.480,,,,,,,
18-08-02,4,317,69,Walleye Pollock,Total,33.3,0.332,,,,,,,
18-08-02,4,318,70,Walleye Pollock,Total,36.1,0.410,,,,,,,
18-08-02,4,319,71,Walleye Pollock,Total,41.5,0.562,,,,,,,
18-08-02,4,320,72,Walleye Pollock,Total,35.5,0.388,,,,,,,
18-08-02,4,321,73,Walleye Pollock,Total,39.1,0.464,,,,,,,
18-08-02,4,322,74,Walleye Pollock,Total,27.7,0.186,,,,,,,
18-08-02,4,323,75,Walleye Pollock,Total,33.0,0.336,,,,,,,
18-08-02,4,324,76,Walleye Pollock,Total,33.0,0.280,,,,,,,
18-08-02,4,325,77,Walleye Pollock,Total,39.7,0.556,,,,,,,
18-08-02,4,326,78,Walleye Pollock,Total,44.1,0.588,,,,,,,
18-08-02,4,327,79,Walleye Pollock,Total,37.0,0.340,,,,,,,
18-08-02,4,328,80,Walleye Pollock,Total,45.5,0.716,,,,,,,
18-08-02,4,329,81,Walleye Pollock,Total,35.0,0.400,,,,,,,
18-08-02,4,330,82,Walleye Pollock,Total,33.5,0.322,,,,,,,
18-08-02,4,331,83,Walleye Pollock,Total,32.3,0.278,,,,,,,
18-08-02,4,332,84,Walleye Pollock,Total,30.2,0.230,,,,,,,
18-08-02,4,333,85,Walleye Pollock,Total,38.8,0.488,,,,,,,
18-08-02,4,334,86,Walleye Pollock,Total,34.6,0.348,,,,,,,
18-08-02,4,335,87,Walleye Pollock,Total,33.0,0.302,,,,,,,
18-08-02,4,336,88,Walleye Pollock,Total,37.4,0.412,,,,,,,
18-08-02,4,337,89,Walleye Pollock,Total,35.0,0.400,,,,,,,
18-08-02,4,338,90,Walleye Pollock,Total,35.6,0.408,,,,,,,
18-08-02,4,339,91,Walleye Pollock,Total,32.3,0.276,,,,,,,
18-08-02,4,340,92,Walleye Pollock,Total,41.6,0.652,,,,,,,
18-08-02,4,341,93,Walleye Pollock,Total,38.4,0.408,,,,,,,
18-08-02,4,342,94,Walleye Pollock,Total,44.2,0.852,,,,,,,
18-08-02,4,343,95,Walleye Pollock,Total,36.3,0.386,,,,,,,
18-08-02,4,344,96,Walleye Pollock,Total,40.0,0.554,,,,,,,
18-08-02,4,345,97,Walleye Pollock,Total,35.2,0.396,,,,,,,
18-08-02,4,346,98,Walleye Pollock,Total,32.4,0.296,,,,,,,
18-08-02,4,347,99,Walleye Pollock,Total,38.6,0.412,,,,,,,
18-08-02,4,348,100,Walleye Pollock,Total,41.5,0.670,,,,,,,
18-08-02,4,349,101,Walleye Pollock,Total,30.5,0.248,,,,,,,
18-08-02,4,350,102,Walleye Pollock,Total,37.3,0.482,,,,,,,
18-08-02,4,351,103,Walleye Pollock,Total,35.5,0.448,,,,,,,
18-08-02,4,352,104,Walleye Pollock,Total,30.5,0.224,,,,,,,
18-08-02,4,353,105,Walleye Pollock,Total,31.9,0.236,,,,,,,
18-08-02,4,354,106,Walleye Pollock,Total,32.7,0.316,,,,,,,
18-08-02,4,355,107,Walleye Pollock,Total,46.9,0.878,,,,,,,
18-08-02,4,356,108,Walleye Pollock,Total,33.4,0.322,,,,,,,
18-08-02,4,357,109,Walleye Pollock,Total,40.4,0.520,,,,,,,
18-08-02,4,358,110,Walleye Pollock,Total,37.7,0.444,,,,,,,
18-08-02,4,359,111,Walleye Pollock,Total,39.8,0.572,,,,,,,
18-08-02,4,360,112,Walleye Pollock,Total,33.0,0.308,,,,,,,
18-08-02,4,361,113,Walleye Pollock,Total,40.6,0.652,,,,,,,
18-08-02,4,362,114,Walleye Pollock,Total,56.5,1.486,,,,,,,
18-08-02,4,363,115,Walleye Pollock,Total,51.3,1.160,,,,,,,
18-08-02,4,364,116,Walleye Pollock,Total,43.1,0.656,,,,,,,
18-08-02,4,365,117,Walleye Pollock,Total,40.9,0.688,,,,,,,
18-08-02,4,366,118,Walleye Pollock,Total,39.7,0.554,,,,,,,
