kingdom,phylum,class,order,family,genus,species,environment,depth_range_min,depth_range_max,max_length_cm,common_length_cm,in_range
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,pelagic_oceanic,0,250,84,45,y
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,benthopelagic,0,375,150,70,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus,dermersal,0,550,49,33,y
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,dermersal,0,12,20,NA,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,Reinhardtius hippoglossoides,benthopelagic,1,2200,110,56,y
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Rhinoliparis,Rhinoliparis barbulifer,bathydemersal,28,2189,8.8,,y
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,Scophthalmus maximus,dermersal,20,70,100,70,n
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,bathydemersal,0,825,53,NA,y
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus,dermersal,10,183,58,NA,y
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes crameri,bathydemersal,25,600,58,NA,y
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,pelagic_neritic,0,549,60,NA,y
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes flavidus,reef_associated,0,549,66,NA,y
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes maliger,dermersal,0,274,61,NA,y
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,reef_associated,0,550,61,NA,y
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Spirinchus,Spirinchus starksi,benthopelagic,NA,128,23,NA,y
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,benthopelagic,0,1460,160,100,n
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus suckleyi,benthopelagic,15,1244,140,NA,y
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,pelagic_neritic,0,300,34,20,y
