ASV,level,LCT,class,order,family,genus,species,all_species
ASV10,species,Oncorhynchus nerka,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,Oncorhynchus nerka
ASV13,species,Oncorhynchus nerka,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,Oncorhynchus nerka
ASV135,species,Phytichthys chirus,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,Phytichthys chirus
ASV39,species,Phytichthys chirus,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,Phytichthys chirus
ASV14,species,Sebastes alutus,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,Sebastes alutus
ASV45,species,Sebastes crameri,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes crameri,Sebastes crameri
ASV27,species,Sebastes mystinus,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,Sebastes mystinus
ASV155,species,Squalus suckleyi,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus suckleyi,Squalus suckleyi
ASV177,species,Squalus suckleyi,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus suckleyi,Squalus suckleyi
ASV2,species,Squalus suckleyi,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus suckleyi,Squalus suckleyi
ASV34,species,Squalus suckleyi,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus suckleyi,Squalus suckleyi
ASV47,species,Squalus suckleyi,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus suckleyi,Squalus suckleyi
ASV534,species,Squalus suckleyi,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus suckleyi,Squalus suckleyi
ASV75,species,Squalus suckleyi,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus suckleyi,Squalus suckleyi
ASV9,species,Squalus suckleyi,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus suckleyi,Squalus suckleyi
ASV163,species,Thaleichthys pacificus,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,Thaleichthys pacificus
ASV5,species,Thaleichthys pacificus,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,Thaleichthys pacificus
ASV616,species,Thaleichthys pacificus,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,Thaleichthys pacificus
ASV84,species,Reinhardtius evermanni,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,Reinhardtius evermanni,Reinhardtius evermanni
ASV31,genus,Sebastes caurinus/maliger,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus/maliger,"Sebastes caurinus, Sebastes maliger"
