set_number,LCT,gamma_detection_method,alpha_detection_method,beta_detection_method,set_read_index,weight_total_kg,pabs_trawl,p_abs_eDNA,kingdom,phylum,class,order,family,genus,environment,depth_range_min,depth_range_max,max_length_cm,common_length_cm,in_range,habitat,depth_trawl,depth_eDNA,Jac,Jac_turn,Jac_nest,Sor_turn,Sor_nest,depth_difference
2,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,46.6906815169542,0.028,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic,120,120,0.7777777777777778,0.75,0.027777777777777776,0.6,0.03636363636363636,0
2,Gadus/chalcogrammus,both eDNA/trawl,only eDNA,both eDNA/trawl,12.0284214665176,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic,120,120,0.7777777777777778,0.75,0.027777777777777776,0.6,0.03636363636363636,0
3,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,102.556093116722,2.89,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic,110,100,0.7142857142857143,0.6666666666666666,0.047619047619047616,0.5,0.05555555555555555,10
3,Spirinchus starksi,only trawl,only trawl,only trawl,0,0.028,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Spirinchus,benthopelagic,NA,128,23,NA,y,benthopelagic,110,100,0.7142857142857143,0.6666666666666666,0.047619047619047616,0.5,0.05555555555555555,10
3,Squalus suckleyi,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.806,1,0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic,110,100,0.7142857142857143,0.6666666666666666,0.047619047619047616,0.5,0.05555555555555555,10
3,Merluccius productus,both eDNA/trawl,only eDNA,both eDNA/trawl,4.3037726491415,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic,110,100,0.7142857142857143,0.6666666666666666,0.047619047619047616,0.5,0.05555555555555555,10
3,Anoplopoma fimbria,both eDNA/trawl,only eDNA,both eDNA/trawl,0.202888854396687,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,bathydemersal,175,2740,120,80,y,bathydemersal,110,100,0.7142857142857143,0.6666666666666666,0.047619047619047616,0.5,0.05555555555555555,10
3,Gadus/chalcogrammus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.0300405233866254,0.558,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic,110,100,0.7142857142857143,0.6666666666666666,0.047619047619047616,0.5,0.05555555555555555,10
3,Thaleichthys pacificus,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.044,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic,110,100,0.7142857142857143,0.6666666666666666,0.047619047619047616,0.5,0.05555555555555555,10
4,Oncorhynchus kisutch,both eDNA/trawl,only trawl,both eDNA/trawl,0,3.188,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic,0,250,108,71,y,pelagic,135,115,0.7142857142857143,0,0.7142857142857143,0,0.5555555555555556,20
4,Mallotus villosus,only trawl,only trawl,only trawl,0,1e-4,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,pelagic_oceanic,0,725,20,15,y,pelagic,135,115,0.7142857142857143,0,0.7142857142857143,0,0.5555555555555556,20
4,Merluccius productus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1.93341358300788,0.774,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic,135,115,0.7142857142857143,0,0.7142857142857143,0,0.5555555555555556,20
4,Squalus suckleyi,both eDNA/trawl,only trawl,both eDNA/trawl,0,7.882,1,0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic,135,115,0.7142857142857143,0,0.7142857142857143,0,0.5555555555555556,20
4,Thaleichthys pacificus,both eDNA/trawl,only trawl,both eDNA/trawl,0,3.05,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic,135,115,0.7142857142857143,0,0.7142857142857143,0,0.5555555555555556,20
4,Gadus/chalcogrammus,both eDNA/trawl,only trawl,both eDNA/trawl,0,47.206,1,0,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic,135,115,0.7142857142857143,0,0.7142857142857143,0,0.5555555555555556,20
4,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,105.775193340811,0.182,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic,135,115,0.7142857142857143,0,0.7142857142857143,0,0.5555555555555556,20
5,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,18,0.02,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic,100,100,0.6666666666666666,0,0.6666666666666666,0,0.5,0
5,Sebastes flavidus,only trawl,only trawl,only trawl,0,1.246,1,0,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,reef_associated,0,549,66,NA,y,reef_associated,100,100,0.6666666666666666,0,0.6666666666666666,0,0.5,0
5,Thaleichthys pacificus,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.052,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic,100,100,0.6666666666666666,0,0.6666666666666666,0,0.5,0
7,Oncorhynchus kisutch,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.034,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic,0,250,108,71,y,pelagic,160,140,1,1,0,1,0,20
7,Squalus suckleyi,both eDNA/trawl,only trawl,both eDNA/trawl,0,7.344,1,0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic,160,140,1,1,0,1,0,20
7,Oncorhynchus nerka,only eDNA,only eDNA,only eDNA,1.9123643008133,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic,160,140,1,1,0,1,0,20
7,Gadus/chalcogrammus,both eDNA/trawl,only trawl,both eDNA/trawl,0,4.46,1,0,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic,160,140,1,1,0,1,0,20
7,Clupea pallasii,both eDNA/trawl,only eDNA,both eDNA/trawl,36,0,0,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic,160,140,1,1,0,1,0,20
7,Thaleichthys pacificus,both eDNA/trawl,only trawl,both eDNA/trawl,0,1.52,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic,160,140,1,1,0,1,0,20
7,Sebastes crameri,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,25,600,58,NA,y,bathydemersal,160,140,1,1,0,1,0,20
7,Anoplopoma fimbria,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.732,1,0,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,bathydemersal,175,2740,120,80,y,bathydemersal,160,140,1,1,0,1,0,20
8,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,97.832728770578,3.273,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic,60,80,0.6666666666666666,0.6666666666666666,0,0.5,0,20
8,Sebastes entomelas,both eDNA/trawl,only eDNA,only eDNA,0.0489330666685468,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,pelagic_neritic,0,549,60,NA,y,pelagic,60,80,0.6666666666666666,0.6666666666666666,0,0.5,0,20
8,Oncorhynchus keta,both eDNA/trawl,only eDNA,both eDNA/trawl,3,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,250,100,58,y,benthopelagic,60,80,0.6666666666666666,0.6666666666666666,0,0.5,0,20
8,Gadus/chalcogrammus,both eDNA/trawl,only trawl,both eDNA/trawl,0,11.15,1,0,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic,60,80,0.6666666666666666,0.6666666666666666,0,0.5,0,20
8,Oncorhynchus tshawytscha,both eDNA/trawl,only trawl,both eDNA/trawl,0,9.46,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,375,150,70,y,benthopelagic,60,80,0.6666666666666666,0.6666666666666666,0,0.5,0,20
8,Thaleichthys pacificus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.51722734451176,0.681,1,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic,60,80,0.6666666666666666,0.6666666666666666,0,0.5,0,20
9,Oncorhynchus nerka,only eDNA,only eDNA,only eDNA,0.242885099245178,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic,130,120,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142,10
9,Gadus/chalcogrammus,both eDNA/trawl,only trawl,both eDNA/trawl,0,25.495,1,0,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic,130,120,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142,10
9,Oncorhynchus tshawytscha,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.88,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,375,150,70,y,benthopelagic,130,120,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142,10
9,Parophrys vetulus,only trawl,only trawl,only trawl,0,0.164,1,0,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,demersal,0,550,49,33,y,demersal,130,120,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142,10
9,Sebastes crameri,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,25,600,58,NA,y,bathydemersal,130,120,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142,10
9,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,96.2281231408721,3.488,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic,130,120,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142,10
9,Thaleichthys pacificus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.801346058365974,1.584,1,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic,130,120,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142,10
9,Reinhardtius hippoglossoides,only trawl,only trawl,only trawl,0,3.034,1,0,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,benthopelagic,1,2200,110,56,y,benthopelagic,130,120,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142,10
9,Anoplopoma fimbria,both eDNA/trawl,only eDNA,only eDNA,0.436156761983642,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,bathydemersal,175,2740,120,80,y,bathydemersal,130,120,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142,10
9,Merluccius productus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,4.83664907101568,39.702,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic,130,120,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142,10
9,Squalus suckleyi,both eDNA/trawl,only trawl,both eDNA/trawl,0,15.92,1,0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic,130,120,0.7272727272727273,0.6666666666666666,0.06060606060606061,0.5,0.07142857142857142,10
10,Gadus/chalcogrammus,both eDNA/trawl,only trawl,both eDNA/trawl,0,36.466,1,0,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic,80,80,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1,0
10,Merluccius productus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.27776392309302,86.866,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic,80,80,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1,0
10,Squalus suckleyi,both eDNA/trawl,only trawl,both eDNA/trawl,0,9.54,1,0,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic,80,80,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1,0
10,Thaleichthys pacificus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,9.65222141296431,0.058,1,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic,80,80,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1,0
10,Oncorhynchus nerka,only eDNA,only eDNA,only eDNA,8.23799506082502,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic,80,80,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1,0
10,Entosphenus tridentatus,only trawl,only trawl,only trawl,0,0.058,1,0,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,demersal,0,1508,76,41,y,demersal,80,80,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1,0
10,Sebastes entomelas,both eDNA/trawl,only eDNA,only eDNA,0.69759452819912,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,pelagic_neritic,0,549,60,NA,y,pelagic,80,80,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1,0
10,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,25.7594438854843,0.682,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic,80,80,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1,0
10,Oncorhynchus tshawytscha,both eDNA/trawl,only trawl,both eDNA/trawl,0,16.116,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,375,150,70,y,benthopelagic,80,80,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1,0
11,Gadus/chalcogrammus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1.47910245474711,1.472,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic,200,200,0.25,0,0.25,0,0.14285714285714285,0
11,Squalus suckleyi,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.16322092861017,4.376,1,1,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic,200,200,0.25,0,0.25,0,0.14285714285714285,0
11,Diaphus theta,only trawl,only trawl,only trawl,0,0.028,1,0,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,bathypelagic,10,3400,11.4,NA,y,bathypelagic,200,200,0.25,0,0.25,0,0.14285714285714285,0
11,Merluccius productus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,13.8159848117377,20.376,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic,200,200,0.25,0,0.25,0,0.14285714285714285,0
12,Allosmerus elongatus,only trawl,only trawl,only trawl,0,0.028,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Allosmerus,demersal,1,103,22.9,NA,y,demersal,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Clupea pallasii,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,20.4581868599338,2.698,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Merluccius productus,both eDNA/trawl,only eDNA,both eDNA/trawl,0.894846187602415,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Alosa sapidissima,both eDNA/trawl,only eDNA,both eDNA/trawl,0.277052556963114,0,0,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,pelagic_neritic,0,250,76,50,n,pelagic,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Anoplopoma fimbria,both eDNA/trawl,only eDNA,only eDNA,0.578337801786457,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,bathydemersal,175,2740,120,80,y,bathydemersal,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Glyptocephalus zachirus,only eDNA,only eDNA,only eDNA,2.02824712474726,0,0,1,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,demersal,0,900,60,36,y,demersal,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Oncorhynchus kisutch,both eDNA/trawl,only eDNA,both eDNA/trawl,2.24341235328162,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic,0,250,108,71,y,pelagic,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Thaleichthys pacificus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,8.27312776538787,0.34,1,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Oncorhynchus gorbuscha,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,6,2.76,1,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,demersal,0,250,76,NA,y,demersal,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Cryptacanthodes giganteus,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,demersal,6,128,117,NA,y,demersal,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Gadus/chalcogrammus,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.00732408039945875,9.796,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Citharichthys stigmaeus,only eDNA,only eDNA,only eDNA,0.524541920706915,0,0,1,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Citharichthys,demersal,NA,549,17,NA,y,demersal,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Engraulis mordax,only trawl,only trawl,only trawl,0,0.06,1,0,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,pelagic_neritic,0,310,24.8,15,y,pelagic,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Oncorhynchus nerka,only eDNA,only eDNA,only eDNA,5.99242404620473,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Sebastes entomelas,both eDNA/trawl,only eDNA,only eDNA,0.169575256632449,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,pelagic_neritic,0,549,60,NA,y,pelagic,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
12,Oncorhynchus keta,both eDNA/trawl,only trawl,both eDNA/trawl,0,1.338,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,250,100,58,y,benthopelagic,25,25,0.7222222222222222,0.6153846153846154,0.10683760683760685,0.4444444444444444,0.12077294685990338,0
