LCT,set_number,gamma_detection_method,alpha_detection_method,beta_detection_method,set_read_index,weight_total_kg,pabs_trawl,p_abs_eDNA,kingdom,phylum,class,order,family,genus,environment,depth_range_min,depth_range_max,max_length_cm,common_length_cm,in_range,habitat
Engraulis mordax,14,only trawl,only trawl,only trawl,0,0.028,1,0,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,pelagic_neritic,0,310,24.8,15,y,pelagic
Engraulis mordax,15,only trawl,only trawl,only trawl,0,0.034,1,0,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,pelagic_neritic,0,310,24.8,15,y,pelagic
Engraulis mordax,12,only trawl,only trawl,only trawl,0,0.06,1,0,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,pelagic_neritic,0,310,24.8,15,y,pelagic
Pholis laeta,14,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Teleostei,Perciformes,Pholidae,Pholis,demersal,0,73,25,NA,y,demersal
Thaleichthys pacificus,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,9.652221413,0.058,1,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,8.273127765,0.34,1,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.997239094,0.06,1,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,1,both eDNA/trawl,only eDNA,both eDNA/trawl,4.199500208,0,0,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,2.296977152,0,0,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,16,both eDNA/trawl,only eDNA,both eDNA/trawl,10.86022322,0,0,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,2,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.18,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,3,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.044,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,4,both eDNA/trawl,only trawl,both eDNA/trawl,0,3.05,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,5,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.052,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.031855091,0.805,1,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,1.52,1,0,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.517227345,0.681,1,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.801346058,1.584,1,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Thaleichthys pacificus,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1.529644016,0,0,1,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic
Xiphister atropurpureus/mucosus,15,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,demersal,4,15,44.25,NA,y,demersal
Xiphister atropurpureus/mucosus,16,only eDNA,only eDNA,only eDNA,0.585062662,0,0,1,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,demersal,4,15,44.25,NA,y,demersal
Clupea pallasii,1,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,29.27724295,0.028,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,25.75944389,0.682,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,35.93786354,4.798,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,75.87288061,7.899,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,16,both eDNA/trawl,only eDNA,both eDNA/trawl,94.04675823,0,0,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,13,both eDNA/trawl,only trawl,both eDNA/trawl,0,2.901,1,0,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,3,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,102.5560931,2.89,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,105.7751933,0.182,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,18,0.02,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,64.54965646,0.036,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,7,both eDNA/trawl,only eDNA,both eDNA/trawl,36,0,0,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,97.83272877,3.273,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,96.22812314,3.488,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,20.45818686,2.698,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Clupea pallasii,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,46.69068152,0.028,1,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pelagic_neritic,0,475,46,25,y,pelagic
Parophrys vetulus,9,only trawl,only trawl,only trawl,0,0.164,1,0,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,demersal,0,550,49,33,y,demersal
Hippoglossoides elassodon,16,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,demersal,0,1050,52,NA,y,demersal
Eopsetta jordani,16,only eDNA,only eDNA,only eDNA,4.005038589,0,0,1,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Eopsetta,demersal,0,550,53,42.5,y,demersal
Sebastes alutus,1,only eDNA,only eDNA,only eDNA,1.260845347,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,0,825,53,NA,y,bathydemersal
Sebastes alutus,15,only eDNA,only eDNA,only eDNA,3.414454811,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,0,825,53,NA,y,bathydemersal
Sebastes alutus,2,only eDNA,only eDNA,only eDNA,6,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,0,825,53,NA,y,bathydemersal
Sebastes alutus,16,only eDNA,only eDNA,only eDNA,3.634437339,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,0,825,53,NA,y,bathydemersal
Sebastes crameri,16,only eDNA,only eDNA,only eDNA,0.10322989,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,25,600,58,NA,y,bathydemersal
Sebastes crameri,7,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,25,600,58,NA,y,bathydemersal
Sebastes crameri,9,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,25,600,58,NA,y,bathydemersal
Sebastes crameri,14,only eDNA,only eDNA,only eDNA,5.276515318,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,25,600,58,NA,y,bathydemersal
Sebastes caurinus/maliger,16,only eDNA,only eDNA,only eDNA,0.891886927,0,0,1,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,demersal,5,228.5,59.5,NA,y,demersal
Sebastes caurinus/maliger,2,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,demersal,5,228.5,59.5,NA,y,demersal
Glyptocephalus zachirus,12,only eDNA,only eDNA,only eDNA,2.028247125,0,0,1,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,demersal,0,900,60,36,y,demersal
Glyptocephalus zachirus,13,only eDNA,only eDNA,only eDNA,0.869452548,0,0,1,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,demersal,0,900,60,36,y,demersal
Glyptocephalus zachirus,14,only eDNA,only eDNA,only eDNA,0.110032955,0,0,1,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,demersal,0,900,60,36,y,demersal
Glyptocephalus zachirus,16,only eDNA,only eDNA,only eDNA,0.71240646,0,0,1,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,demersal,0,900,60,36,y,demersal
Glyptocephalus zachirus,15,only eDNA,only eDNA,only eDNA,1.2186004,0,0,1,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,demersal,0,900,60,36,y,demersal
Sebastes entomelas,12,both eDNA/trawl,only eDNA,only eDNA,0.169575257,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,pelagic_neritic,0,549,60,NA,y,pelagic
Sebastes entomelas,2,both eDNA/trawl,only trawl,only trawl,0,0.878,1,0,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,pelagic_neritic,0,549,60,NA,y,pelagic
Sebastes entomelas,8,both eDNA/trawl,only eDNA,only eDNA,0.048933067,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,pelagic_neritic,0,549,60,NA,y,pelagic
Sebastes entomelas,10,both eDNA/trawl,only eDNA,only eDNA,0.697594528,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,pelagic_neritic,0,549,60,NA,y,pelagic
Hexagrammos decagrammus,15,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,demersal,0,46,61,NA,y,demersal
Hexagrammos decagrammus,15,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Teleostei,Scorpaeniformes,Hexagrammidae,Hexagrammos,demersal,0,46,61,NA,y,demersal
Sebastes mystinus,15,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,reef_associated,0,550,61,NA,y,reef_associated
Sebastes mystinus,14,only eDNA,only eDNA,only eDNA,3,0,0,1,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,reef_associated,0,550,61,NA,y,reef_associated
Sebastes flavidus,2,only trawl,only trawl,only trawl,0,10.15,1,0,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,reef_associated,0,549,66,NA,y,reef_associated
Sebastes flavidus,5,only trawl,only trawl,only trawl,0,1.246,1,0,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,reef_associated,0,549,66,NA,y,reef_associated
Alosa sapidissima,12,both eDNA/trawl,only eDNA,both eDNA/trawl,0.277052557,0,0,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,pelagic_neritic,0,250,76,50,n,pelagic
Alosa sapidissima,13,both eDNA/trawl,only eDNA,both eDNA/trawl,0.541733539,0,0,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,pelagic_neritic,0,250,76,50,n,pelagic
Alosa sapidissima,14,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.194,1,0,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,pelagic_neritic,0,250,76,50,n,pelagic
Alosa sapidissima,15,both eDNA/trawl,only eDNA,both eDNA/trawl,3.003033035,0,0,1,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,pelagic_neritic,0,250,76,50,n,pelagic
Entosphenus tridentatus,10,only trawl,only trawl,only trawl,0,0.058,1,0,Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,demersal,0,1508,76,41,y,demersal
Oncorhynchus gorbuscha,1,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.427017347,0.152,1,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,demersal,0,250,76,NA,y,demersal
Oncorhynchus gorbuscha,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,6,2.76,1,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,demersal,0,250,76,NA,y,demersal
Oncorhynchus gorbuscha,15,both eDNA/trawl,only eDNA,both eDNA/trawl,3.052358369,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,demersal,0,250,76,NA,y,demersal
Oncorhynchus gorbuscha,16,both eDNA/trawl,only eDNA,both eDNA/trawl,12.2291976,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,demersal,0,250,76,NA,y,demersal
Oncorhynchus gorbuscha,14,both eDNA/trawl,only eDNA,both eDNA/trawl,5.516091703,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,demersal,0,250,76,NA,y,demersal
Oncorhynchus nerka,1,both eDNA/trawl,only eDNA,only eDNA,5.922079488,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic
Oncorhynchus nerka,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,5.992424046,182.836,1,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic
Oncorhynchus nerka,13,both eDNA/trawl,only eDNA,both eDNA/trawl,10.62685543,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic
Oncorhynchus nerka,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1.81247722,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic
Oncorhynchus nerka,10,both eDNA/trawl,only eDNA,both eDNA/trawl,8.237995061,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic
Oncorhynchus nerka,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1.604546815,5.452,1,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic
Oncorhynchus nerka,7,both eDNA/trawl,only eDNA,only eDNA,1.912364301,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic
Oncorhynchus nerka,8,both eDNA/trawl,only trawl,both eDNA/trawl,0,0,1,0,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic
Oncorhynchus nerka,15,both eDNA/trawl,only eDNA,both eDNA/trawl,3.153277745,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic
Oncorhynchus nerka,9,both eDNA/trawl,only eDNA,both eDNA/trawl,0.242885099,0,0,1,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic
Gadus/chalcogrammus,1,both eDNA/trawl,only eDNA,both eDNA/trawl,4.055876647,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,10,both eDNA/trawl,only trawl,both eDNA/trawl,0,36.466,1,0,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1.479102455,1.472,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,21,45.339,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,17.21581081,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,16,both eDNA/trawl,only eDNA,both eDNA/trawl,0.95188054,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.00732408,10.31,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,3,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.030040523,0.558,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,4,both eDNA/trawl,only trawl,both eDNA/trawl,0,47.206,1,0,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,6,both eDNA/trawl,only trawl,both eDNA/trawl,0,7.79,1,0,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,4.46,1,0,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,8,both eDNA/trawl,only trawl,both eDNA/trawl,0,11.15,1,0,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,9,both eDNA/trawl,only trawl,both eDNA/trawl,0,25.495,1,0,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Gadus/chalcogrammus,2,both eDNA/trawl,only eDNA,both eDNA/trawl,12.02842147,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Merluccius productus,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1.114486406,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
Merluccius productus,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.277763923,86.866,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
Merluccius productus,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,13.81598481,20.376,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
Merluccius productus,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1.815950647,24.676,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
Merluccius productus,14,both eDNA/trawl,only eDNA,both eDNA/trawl,2.773605261,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
Merluccius productus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,0.062896495,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
Merluccius productus,12,both eDNA/trawl,only eDNA,both eDNA/trawl,0.894846188,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
Merluccius productus,2,both eDNA/trawl,only eDNA,both eDNA/trawl,1.631692337,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
Merluccius productus,3,both eDNA/trawl,only eDNA,both eDNA/trawl,4.303772649,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
Merluccius productus,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1.933413583,0.774,1,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
Merluccius productus,16,both eDNA/trawl,only eDNA,both eDNA/trawl,4.223272135,0,0,1,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,pelagic_neritic,0,1000,91,NA,y,pelagic
