sample_name,original_sample_name,project_name,lat,lon,date,time_of_sample,time_of_filter,type,depth,area,set_number,volume_l,notes1,notes2,site,north_south
18,E018,Trawl_2018,48 16.472,123 42.230,2018.08.08,8:31:00 AM,9:30:00 AM,trawl,80,JF,8,0.84,,,80_JF_8,S
19,E019,Trawl_2018,48 19.795,123 46.991,2018.08.08,2:14:00 PM,3:02:00 PM,trawl,120,JF,9,1.1,,After 10% bleach rinsed ends of tubing with ddH20 before ddH2O tube rinsing for all following samples.,120_JF_9,S
20,E020,Trawl_2018,48 19.795,123 46.991,2018.08.08,2:14:00 PM,3:02:00 PM,trawl,120,JF,9,1.1,,,120_JF_9,S
21,E021,Trawl_2018,NA,NA,2018.08.08,~13:55,3:02:00 PM,control,NA,JF,9,1.12,,,NA_JF_9,S
22,E022,Trawl_2018,48 21.573,123 55.632,2018.08.09,9:33:00 AM,10:31:00 AM,trawl,80,JF,TS1,1,,,80_JF_TS1,S
23,E023,Trawl_2018,48 21.573,123 55.632,2018.08.09,9:33:00 AM,10:31:00 AM,trawl,80,JF,TS1,1.14,,,80_JF_TS1,S
24,E024,Trawl_2018,48 21.573,123 55.632,2018.08.09,9:33:00 AM,10:31:00 AM,trawl,80,JF,TS1,1,,,80_JF_TS1,S
25,E025,Trawl_2018,48 21.528,123 55.636,2018.08.09,~09:40,10:31:00 AM,5m,5,JF,TS1,0.7,Filter 1 of 2. 5m sample lat and long taken from bongo coordinates,,5_JF_TS1,S
26,E026,Trawl_2018,48 21.528,123 55.636,2018.08.09,~09:40,10:50:00 AM,5m,5,JF,TS1,0.3,Filter 2 of 2. 5m sample lat and long taken from bongo coordinates,,5_JF_TS1,S
27,E027,Trawl_2018,48 23.766,124,2018.08.09,3:57:00 PM,4:49:00 PM,trawl,85,JF,TS2,1,Boat moved before Mei could write down end longitude. Start = 48 23.931 N 124 07.021 W,,85_JF_TS2,S
28,E028,Trawl_2018,48 23.766,124,2018.08.09,3:57:00 PM,4:49:00 PM,trawl,85,JF,TS2,1.03,,,85_JF_TS2,S
29,E029,Trawl_2018,48 23.766,124,2018.08.09,3:57:00 PM,4:49:00 PM,trawl,85,JF,TS2,0.96,,,85_JF_TS2,S
30,E030,Trawl_2018,NA,NA,2018.08.09,12:00:00 AM,6:25:00 PM,control,NA,JF,TS2,1.11,,,NA_JF_TS2,S
31,E031,Trawl_2018,48 23.946,124 07.078,2018.08.09,~16:05,4:49:00 PM,5m,5,JF,TS2,0.95,5m sample lat and long taken from bongo coordinates,,5_JF_TS2,S
32,E032,Trawl_2018,48 31.413,124 36.404,2018.08.10,9:00:00 AM,9:40:00 AM,trawl,80,JF,10,1.09,,,80_JF_10,S
33,E033,Trawl_2018,48 31.413,124 36.404,2018.08.10,9:00:00 AM,9:40:00 AM,trawl,80,JF,10,1.1,,,80_JF_10,S
34,E034,Trawl_2018,NA,NA,2018.08.10,9:00:00 AM,9:40:00 AM,control,NA,JF,10,1.08,,,NA_JF_10,S
35,E035,Trawl_2018,48 29.036,124 32.269,2018.08.10,12:45:00 PM,1:37:00 PM,trawl,200,JF,11,0.9,,,200_JF_11,S
36,E036,Trawl_2018,48 29.036,124 32.269,2018.08.10,12:45:00 PM,1:37:00 PM,trawl,200,JF,11,0.8,,,200_JF_11,S
37,E037,Trawl_2018,NA,NA,2018.08.10,12:00:00 AM,1:37:00 PM,control,NA,JF,11,1.02,,,NA_JF_11,S
38,E038,Trawl_2018,48 28.798,124 31.691,2018.08.10,~12:55,1:37:00 PM,5m,5,JF,11,0.98,5m sample lat and long taken from bongo coordinates,,5_JF_11,S
39,E039,Trawl_2018,48 26.838,124 18.143,2018.08.11,11:37:00 AM,12:16:00 PM,trawl,25,JF,12,1,,,25_JF_12,S
40,E040,Trawl_2018,48 26.838,124 18.143,2018.08.11,11:37:00 AM,12:16:00 PM,trawl,25,JF,12,1.02,,,25_JF_12,S
41,E041,Trawl_2018,NA,NA,2018.08.11,12:00:00 AM,12:16:00 PM,control,NA,JF,12,1.15,,,NA_JF_12,S
42,E042,Trawl_2018,48 26.784,124 18.464,2018.08.11,~11:44,12:16:00 PM,5m,5,JF,12,1,5m sample lat and long taken from bongo coordinates,,5_JF_12,S
43,E043,Trawl_2018,48 23.735,124 14.793,2018.08.11,3:19:00 PM,4:15:00 PM,trawl,160,JF,13,0.94,,,160_JF_13,S
44,E044,Trawl_2018,48 23.735,124 14.793,2018.08.11,3:19:00 PM,4:15:00 PM,trawl,160,JF,13,1.04,,,160_JF_13,S
45,E045,Trawl_2018,NA,NA,2018.08.11,12:00:00 AM,4:15:00 PM,control,NA,JF,13,0.91,,,NA_JF_13,S
46,E046,Trawl_2018,48 23.395,124 13.612,2018.08.11,3:26:00 PM,4:15:00 PM,5m,5,JF,13,0.96,5m sample lat and long taken from bongo coordinates,,5_JF_13,S
47,E047,Trawl_2018,48 31.912,125 05.443,2018.08.12,8:53:00 AM,9:27:00 AM,trawl,80,SB,14,1.12,,,80_SB_14,S
48,E048,Trawl_2018,NA,NA,2018.08.12,8:30:00 AM,9:27:00 AM,control,NA,SB,14,1.1,,,NA_SB_14,S
49,E049,Trawl_2018,48 31.912,125 05.443,2018.08.12,8:53:00 AM,9:27:00 AM,trawl,80,SB,14,1,,,80_SB_14,S
50,E050,Trawl_2018,48 33.937,124 49.363,2018.08.12,2:15:00 PM,2:52:00 PM,surface,0,SB,15,1,sample taken with bucket over port side of vessel.,,0_SB_15,S
51,E051,Trawl_2018,48 33.937,124 49.363,2018.08.12,2:15:00 PM,2:52:00 PM,surface,0,SB,15,1,sample taken with bucket over port side of vessel.,,0_SB_15,S
52,E052,Trawl_2018,48 33.937,124 49.363,2018.08.12,2:15:00 PM,2:52:00 PM,surface,0,SB,15,1.05,sample taken with bucket over port side of vessel.,,0_SB_15,S
53,E053,Trawl_2018,NA,NA,2018.08.12,11:15:00 AM,2:52:00 PM,control,NA,SB,15,1.05,,,NA_SB_15,S
54,E054,Trawl_2018,48 36.828,124 57.345,2018.08.13,8:15:00 AM,8:42:00 AM,surface,0,SB,16,1.03,sample taken with bucket over port side of vessel.,,0_SB_16,S
55,E055,Trawl_2018,NA,NA,2018.08.13,6:45:00 AM,8:42:00 AM,control,NA,SB,16,1.04,,,NA_SB_16,S
56,E056,Trawl_2018,48 36.828,124 57.345,2018.08.13,8:15:00 AM,8:42:00 AM,surface,0,SB,16,1.05,sample taken with bucket over port side of vessel.,,0_SB_16,S
57,E057,Trawl_2018,48 36.828,124 57.345,2018.08.13,8:15:00 AM,8:42:00 AM,surface,0,SB,16,1,sample taken with bucket over port side of vessel.,,0_SB_16,S
Neg,Neg,Trawl_2018,,,,,,,NA,,,NA,,,NA__,S
Pos,Pos,Trawl_2018,,,,,,,NA,,,NA,,,NA__,S
