LCT,kingdom,phylum,class,order,family,genus,environment,depth_range_min,depth_range_max,max_length_cm,common_length_cm,in_range,habitat,total_mean_length_cm
Oncorhynchus nerka,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,pelagic_oceanic,0,250,84,45,y,pelagic,13.542795232936077
Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,benthopelagic,0,375,150,70,y,benthopelagic,57.94826839334399
Parophrys vetulus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,demersal,0,550,49,33,y,demersal,29.74134392840611
Pholis laeta,Animalia,Chordata,Teleostei,Perciformes,Pholidae,Pholis,demersal,0,73,25,NA,y,demersal,25
Phytichthys chirus,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,demersal,0,12,20,NA,y,demersal,20
Reinhardtius evermanni,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Reinhardtius ,demersal,20,1200,100,54,y,demersal,54.2763671875
Reinhardtius hippoglossoides,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,benthopelagic,1,2200,110,56,y,benthopelagic,56
Rhinoliparis barbulifer,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Rhinoliparis,bathydemersal,28,2189,8.8,NA,y,bathydemersal,8.8
Scophthalmus maximus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,demersal,20,70,100,70,n,demersal,70
Sebastes alutus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,0,825,53,NA,y,bathydemersal,40.869565217391305
Sebastes caurinus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,demersal,10,183,58,NA,y,demersal,58
Sebastes caurinus,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,demersal,10,183,58,NA,y,demersal,58
Sebastes caurinus/maliger,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,demersal,5,228.5,59.5,NA,y,demersal,59.5
Sebastes crameri,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,bathydemersal,25,600,58,NA,y,bathydemersal,33.339645405405406
Sebastes entomelas,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,pelagic_neritic,0,549,60,NA,y,pelagic,60
Sebastes flavidus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,reef_associated,0,549,66,NA,y,reef_associated,43.46318151008171
Sebastes maliger,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,demersal,0,274,61,NA,y,demersal,61
Sebastes maliger,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,demersal,0,274,61,NA,y,demersal,61
Sebastes mystinus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,reef_associated,0,550,61,NA,y,reef_associated,61
Spirinchus starksi,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Spirinchus,benthopelagic,NA,128,23,NA,y,benthopelagic,23
Squalus acanthias,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,0,1460,160,100,n,benthopelagic,100
Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,benthopelagic,15,1244,140,NA,y,benthopelagic,69.30451183431953
Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,pelagic_neritic,0,300,34,20,y,pelagic,16.96777656830601
Xiphister atropurpureus,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,demersal,8,12,30.5,NA,y,demersal,30.5
Xiphister atropurpureus/mucosus,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,demersal,4,15,44.25,NA,y,demersal,20.964912280701753
Xiphister mucosus,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,demersal,0,18,58,NA,y,demersal,58
Zoarcidae ,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae ,Zoarcidae ,demersal,NA,NA,10,NA,y,demersal,10
Zoarcidae sp,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae ,Zoarcidae ,demersal,NA,NA,10,NA,y,demersal,17.2
