leg,location,set_number,date,species,sci_name1,sci_name2,sci_name3,sci_name4,tax_level,size_class,number_retained_for_isotopes_and_other_analyses,fa_sample,comments,processed,individs_caught
2,Juan de Fuca Strait,10,2018-08-10T00:00:00Z,Chinook Salmon,Oncorhynchus tshawytscha,NA,NA,NA,species,NA,14,14,"scales from individuals #27 and #28 taken from right side above lateral line; scales taken from regular spot for rest of them (on right side, 2-3 lines below lateral line, behind dorsal fin)",Y (we have 10),14
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Chinook Salmon,Oncorhynchus tshawytscha,NA,NA,NA,species,NA,10,10,NA,Y (we have 8),10
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Chinook Salmon,Oncorhynchus tshawytscha,NA,NA,NA,species,juvenile,1,1,NA,Y,NA
2,Juan de Fuca Strait,13,2018-08-11T00:00:00Z,Chinook Salmon,Oncorhynchus tshawytscha,NA,NA,NA,species,NA,8,8,scales taken from right side above lateral line,? (we have 2),8
2,Juan de Fuca Strait,14,2018-08-12T00:00:00Z,Chinook Salmon,Oncorhynchus tshawytscha,NA,NA,NA,species,NA,5,5,don't have unique catch number for individuals in Trawls 14-16 (have unique lenghs and weights recorded on each bag so can match individual fish to numbers later),Y,5
2,Swiftsure Bank,15,2018-08-12T00:00:00Z,Chinook Salmon,Oncorhynchus tshawytscha,NA,NA,NA,species,NA,21,10,NA,Y,21
2,Swiftsure Bank,16,2018-08-13T00:00:00Z,Chinook Salmon,Oncorhynchus tshawytscha,NA,NA,NA,species,NA,6,6,individual with 0.498kg and 34.8cm measurements had scales taken from right side near anal fin,Y,6
NA,NA,12,NA,Chinook Salmon ,Oncorhynchus tshawytscha,NA,NA,NA,species,juvenile,NA,NA,NA,NA,1
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Chum Salmon,Oncorhynchus keta,NA,NA,NA,species,juvenile,10,5,NA,Y,NA
NA,NA,12,NA,Chum Salmon ,Oncorhynchus keta,NA,NA,NA,species,juvenile,NA,NA,NA,NA,24
NA,NA,8,NA,Clawed Armhook Squid,Gonatus onyx,NA,NA,NA,species,NA,NA,NA,NA,NA,1
2,Juan de Fuca Strait,8,2018-08-08T00:00:00Z,Clawed Armhook Squid,Gonatus onyx,NA,NA,NA,species,NA,1,1,NA,Y,NA
2,Juan de Fuca Strait,13,2018-08-11T00:00:00Z,Clawed Armhook Squid,Gonatus onyx,NA,NA,NA,species,NA,2,0,NA,Y,NA
2,Juan de Fuca Strait,14,2018-08-12T00:00:00Z,Clawed Armhook Squid,Gonatus onyx,NA,NA,NA,species,NA,1,0,"**unable to find squid when organizing samples by trawl in freezer, possibly stuck onto other bag in other trawl; also confirm species ID in lab",Y,NA
NA,NA,9,NA,Clawed Armhook Squid,Gonatus onyx,NA,NA,NA,species,NA,NA,NA,NA,NA,23
NA,NA,11,NA,Clawed Armhook Squid,Gonatus onyx,NA,NA,NA,species,NA,NA,NA,NA,NA,2
NA,NA,13,NA,Clawed Armhooked Squid,Gonatus onyx,NA,NA,NA,species,NA,NA,NA,NA,NA,2
NA,NA,14,NA,Clawed Armhooked Squid,Gonatus onyx,NA,NA,NA,species,NA,NA,NA,NA,NA,1
1,Johnston Strait,4,2018-08-02T00:00:00Z,Coho Salmon,Oncorhynchus kisutch,NA,NA,NA,species,NA,1,1,NA,Y,1
1,Johnston Strait,7,2018-08-04T00:00:00Z,Coho Salmon,Oncorhynchus kisutch,NA,NA,NA,species,NA,1,1,NA,Y,1
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Coho Salmon,Oncorhynchus kisutch,NA,NA,NA,species,juvenile,6,5,NA,Y,NA
2,Swiftsure Bank,15,2018-08-12T00:00:00Z,Coho Salmon,Oncorhynchus kisutch,NA,NA,NA,species,NA,1,1,NA,Y,1
2,Swiftsure Bank,16,2018-08-13T00:00:00Z,Coho Salmon,Oncorhynchus kisutch,NA,NA,NA,species,NA,4,4,NA,Y,4
NA,NA,12,NA,Coho Salmon ,Oncorhynchus kisutch,NA,NA,NA,species,juvenile,NA,NA,NA,NA,6
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,English Sole,Parophrys vetulus,NA,NA,NA,species,NA,1,1,NA,Y,1
1,Johnston Strait,2,2018-08-01T00:00:00Z,Eulachon,Thaleichthys pacificus,NA,NA,NA,species,NA,5,5,confirm eulachon IDs,Y,10
1,Johnston Strait,3,2018-08-02T00:00:00Z,Eulachon,Thaleichthys pacificus,NA,NA,NA,species,NA,7,0,NA,Y,6
1,Johnston Strait,4,2018-08-02T00:00:00Z,Eulachon,Thaleichthys pacificus,NA,NA,NA,species,NA,36,0,NA,Y,101
1,Johnston Strait,6,2018-08-04T00:00:00Z,Eulachon,Thaleichthys pacificus,NA,NA,NA,species,NA,6,0,NA,Y,77
2,Juan de Fuca Strait,8,2018-08-08T00:00:00Z,Eulachon,Thaleichthys pacificus,NA,NA,NA,species,NA,10,5,samples taken for isotopes and FA from different individuals,Y,42
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,Eulachon,Thaleichthys pacificus,NA,NA,NA,species,NA,10,5,samples taken for isotopes and FA from different individuals,Y,100
2,Juan de Fuca Strait,10,2018-08-10T00:00:00Z,Eulachon,Thaleichthys pacificus,NA,NA,NA,species,NA,2,2,NA,Y,2
NA,NA,5,NA,Eulachon,Thaleichthys pacificus,NA,NA,NA,species,NA,NA,NA,NA,NA,2
NA,NA,7,NA,Eulachon,Thaleichthys pacificus,NA,NA,NA,species,NA,NA,NA,NA,NA,101
NA,NA,12,NA,Eulachon,Thaleichthys pacificus,NA,NA,NA,species,NA,NA,NA,NA,NA,69
NA,NA,13,NA,Eulachon,Thaleichthys pacificus,NA,NA,NA,species,NA,NA,NA,NA,NA,6
1,Johnston Strait,3,2018-08-02T00:00:00Z,Euphausia Pacifica spp.,Euphausia pacifica,NA,NA,NA,species,NA,lots,0,NA,Y,NA
1,Johnston Strait,2,2018-08-01T00:00:00Z,Euphausia Pacifica spp.,Euphausia pacifica,NA,NA,NA,species,NA,lots,yes,NA,Y,NA
1,Johnston Strait,5,2018-08-03T00:00:00Z,Euphausia spp.,Euphausia pacifica,NA,NA,NA,species,NA,1 Bag,1 Bag,NA,Y,NA
NA,NA,11,NA,Glass Shrimp,Macrobrachium lanchesteri,NA,NA,NA,species,NA,NA,NA,NA,NA,8
1,Johnston Strait,4,2018-08-02T00:00:00Z,Hake (Whiting),Merluccius productus,NA,NA,NA,species,NA,1,1,NA,Y,NA
NA,NA,9,NA,Hermit Crab,Calcinus tubularis,Eupagurus bernhardus,NA,NA,species,NA,NA,NA,NA,NA,1
NA,NA,10,NA,Lamprey,Lampetra fluviatilis,NA,NA,NA,species,NA,NA,NA,NA,NA,2
NA,NA,1,NA,Lion's Mane Jelly,Cyanea capillata,Cyanea lamarckii,Cyanea nozakii,NA,species,NA,NA,NA,NA,NA,1
NA,NA,3,NA,Lion's Mane Jelly,Cyanea capillata,Cyanea lamarckii,Cyanea nozakii,NA,species,NA,NA,NA,NA,NA,1
NA,NA,4,NA,Lion's Mane Jelly,Cyanea capillata,Cyanea lamarckii,Cyanea nozakii,NA,species,NA,NA,NA,NA,NA,3
1,Johnston Strait,6,2018-08-04T00:00:00Z,Lion's Mane Jellyfish,Cyanea capillata,Cyanea lamarckii,Cyanea nozakii,NA,species,NA,1,1,NA,NA,NA
1,Johnston Strait,2,2018-08-01T00:00:00Z,Myctophid (Diaphus theta),Diaphus theta,NA,NA,NA,species,NA,1,NA,to ID,Y,NA
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,Myctophid (Diaphus theta),Diaphus theta,NA,NA,NA,species,NA,all,0,NA,Y,NA
1,Johnston Strait,2,2018-08-01T00:00:00Z,Neomysis rayii,Neomysis rayii,NA,NA,NA,species,NA,all,yes,Need measurements on krill and shrimp for Trawl 2,Y,12
1,Johnston Strait,7,2018-08-04T00:00:00Z,Neomysis rayii,Neomysis rayii,NA,NA,NA,species,NA,1,0,NA,Y,3
NA,NA,3,NA,Night Smelt,Spirinchus starksi,NA,NA,NA,species,NA,NA,NA,NA,NA,1
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Northern Anchovy,Engraulis mordax,NA,NA,NA,species,NA,4,3,NA,Y,4
2,Juan de Fuca Strait,14,2018-08-12T00:00:00Z,Northern Anchovy,Engraulis mordax,NA,NA,NA,species,NA,1,1,NA,Y,1
2,Swiftsure Bank,15,2018-08-12T00:00:00Z,Northern Anchovy,Engraulis mordax,NA,NA,NA,species,NA,1,1,NA,Y,1
1,Johnston Strait,6,2018-08-04T00:00:00Z,Opalescent Inshore Squid,Doryteuthis opalescens,Doryteuthis opalescens,NA,NA,species,NA,2,0,NA,Y,2
1,Johnston Strait,7,2018-08-04T00:00:00Z,Opalescent Inshore Squid,Doryteuthis opalescens,Doryteuthis opalescens,NA,NA,species,NA,2,2,NA,Y,2
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Opalescent Inshore Squid,Doryteuthis opalescens,Doryteuthis opalescens,NA,NA,species,NA,3,1,NA,Y,3
2,Swiftsure Bank,15,2018-08-12T00:00:00Z,Opalescent Inshore Squid,Doryteuthis opalescens,Doryteuthis opalescens,NA,NA,species,NA,2,2,NA,Y,2
1,Johnston Strait,3,2018-08-02T00:00:00Z,Osmeridae (Whitebait smelt),Allosmerus elongatus,NA,NA,NA,species,NA,2,0,to ID,Y,NA
NA,NA,4,NA,Pacific Hake,Merluccius gayi,Merluccius productus,NA,NA,species,NA,NA,NA,NA,NA,1
NA,NA,6,NA,Pacific Hake,Merluccius gayi,Merluccius productus,NA,NA,species,NA,NA,NA,NA,NA,7
NA,NA,9,NA,Pacific Hake,Merluccius gayi,Merluccius productus,NA,NA,species,NA,NA,NA,NA,NA,26
NA,NA,10,NA,Pacific Hake,Merluccius gayi,Merluccius productus,NA,NA,species,NA,NA,NA,NA,NA,98
NA,NA,11,NA,Pacific Hake,Merluccius gayi,Merluccius productus,NA,NA,species,NA,NA,NA,NA,NA,19
NA,NA,13,NA,Pacific Hake,Merluccius gayi,Merluccius productus,NA,NA,species,NA,NA,NA,NA,NA,23
1,Johnston Strait,1,2018-08-01T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,1,0,NA,Y,1
1,Johnston Strait,2,2018-08-01T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,3,1,NA,Y,3
1,Johnston Strait,3,2018-08-02T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,100,2,NA,?,102
1,Johnston Strait,6,2018-08-04T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,3,3,NA,Y,3
2,Juan de Fuca Strait,8,2018-08-08T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,10,5,samples taken for isotopes and FA from different individuals,? (we have 2),100
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,15,5,NA,Y,100
2,Juan de Fuca Strait,10,2018-08-10T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,large,5,5,NA,Y,NA
2,Juan de Fuca Strait,10,2018-08-10T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,small,5,0,NA,Y,NA
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,large,1,1,NA,Y,NA
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,juvenile,5,5,samples taken for isotopes and FA from different individuals (because too small),Y,NA
2,Juan de Fuca Strait,14,2018-08-12T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,juvenile,2,0,NA,Y,NA
2,Juan de Fuca Strait,14,2018-08-12T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,medium,10,5,NA,Y,NA
2,Juan de Fuca Strait,14,2018-08-12T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,large,10,5,NA,Y,NA
2,Swiftsure Bank,15,2018-08-12T00:00:00Z,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,juvenile,8,5,samples taken for isotopes and FA from different individuals,Y,NA
NA,NA,4,NA,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,NA,NA,NA,NA,9
NA,NA,5,NA,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,NA,NA,NA,NA,3
NA,NA,10,NA,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,NA,NA,NA,NA,19
NA,NA,12,NA,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,NA,NA,NA,NA,99
NA,NA,13,NA,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,NA,NA,NA,NA,100
NA,NA,14,NA,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,NA,NA,NA,NA,101
NA,NA,15,NA,Pacific Herring,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,NA,NA,NA,NA,NA,100
NA,NA,15,NA,Pacific Herring ,Clupea pallasii,Clupea pallasii,Clupea pallasii pallasii,NA,species,juvenile,NA,NA,NA,NA,5
2,Juan de Fuca Strait,10,2018-08-10T00:00:00Z,Pacific Lamprey,Lampetra tridentata,Moenkhausia tridentata,NA,NA,species,NA,2,2,NA,Y,NA
1,Johnston Strait,2,2018-08-01T00:00:00Z,Pasiphaea pacifica,Pasiphaea pacifica,NA,NA,NA,species,NA,all,yes,Unidentified shrimp are consistently names (i.e. 'Pasiphaea pacifica' from Trawl 2 is the same as 'Pasiphaea pacifica' in Trawl 10),Y,31
1,Johnston Strait,5,2018-08-03T00:00:00Z,Pasiphaea pacifica,Pasiphaea pacifica,NA,NA,NA,species,NA,yes,1 Bag,NA,?,NA
1,Johnston Strait,7,2018-08-04T00:00:00Z,Pasiphaea pacifica,Pasiphaea pacifica,NA,NA,NA,species,NA,1,1,NA,Y,29
2,Juan de Fuca Strait,11,2018-08-10T00:00:00Z,Pasiphaea pacifica,Pasiphaea pacifica,NA,NA,NA,species,NA,lots,0,NA,Y,22
1,Johnston Strait,2,2018-08-01T00:00:00Z,Pasiphaea tarda,Pasiphaea tarda,NA,NA,NA,species,NA,all,yes,Shrim C appears to be Pacific glass shrimp (Pasiphaeapacifica),Y,16
1,Johnston Strait,4,2018-08-02T00:00:00Z,Pasiphaea tarda,Pasiphaea tarda,NA,NA,NA,species,NA,lots,0,NA,Y,50
1,Johnston Strait,6,2018-08-04T00:00:00Z,Pasiphaea tarda,Pasiphaea tarda,NA,NA,NA,species,NA,lots,lots,NA,Y,37
1,Johnston Strait,7,2018-08-04T00:00:00Z,Pasiphaea tarda,Pasiphaea tarda,NA,NA,NA,species,NA,1,1,NA,Y (10),30
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,Pasiphaea tarda,Pasiphaea tarda,NA,NA,NA,species,NA,all,0,NA,N (but 10 Squid C),1
2,Juan de Fuca Strait,11,2018-08-10T00:00:00Z,Pasiphaea tarda,Pasiphaea tarda,NA,NA,NA,species,NA,lots,0,NA,Y,NA
1,Johnston Strait,1,2018-08-01T00:00:00Z,Pink Salmon,Oncorhynchus gorbuscha,NA,NA,NA,species,NA,3,1,"For Leg 1, ""FA samples"" are also included in ""Number retained""; for Leg 2, ""Number retained"" represents the samples collected and put in the freezer -- if ""FA Sample"" is not included in the number, it is indicated in the comments",Y,3
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Pink Salmon,Oncorhynchus gorbuscha,NA,NA,NA,species,juvenile,10,5,NA,Y,NA
NA,NA,12,NA,Pink Salmon ,Oncorhynchus gorbuscha,NA,NA,NA,species,juvenile,NA,NA,NA,NA,100
2,Juan de Fuca Strait,11,2018-08-10T00:00:00Z,Pink Shrimp,Penaeus duorarum,Pandalus borealis,Pandalus jordani,Pandalus montagui,species,NA,1,0,NA,Y,NA
1,Johnston Strait,7,2018-08-04T00:00:00Z,Sablefish,Anoplopoma fimbria,NA,NA,NA,species,NA,1,1,NA,Y,1
2,Swiftsure Bank,15,2018-08-12T00:00:00Z,Sablefish,Anoplopoma fimbria,NA,NA,NA,species,NA,3,3,NA,Y,3
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Sockeye Salmon,Oncorhynchus nerka,NA,NA,NA,species,NA,10,5,NA,Y,68
2,Swiftsure Bank,16,2018-08-13T00:00:00Z,Sockeye Salmon,Oncorhynchus nerka,NA,NA,NA,species,NA,2,2,NA,Y,2
NA,NA,8,NA,Sockeye Salmon,Oncorhynchus nerka,NA,NA,NA,species,NA,NA,NA,NA,NA,1
1,Johnston Strait,2,2018-08-01T00:00:00Z,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,NA,1,1,tag in mouth,Y,1
1,Johnston Strait,3,2018-08-02T00:00:00Z,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,NA,1,1,NA,Y,2
1,Johnston Strait,4,2018-08-02T00:00:00Z,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,NA,5,2,NA,Y,11
1,Johnston Strait,6,2018-08-04T00:00:00Z,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,small,10,3,smaller size class,Y,NA
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,large,4,4,NA,Y,NA
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,small,10,5,NA,Y,NA
2,Juan de Fuca Strait,10,2018-08-10T00:00:00Z,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,large,4,4,NA,Y,NA
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,large,2,2,NA,Y,NA
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,small,5,5,NA,Y,NA
NA,NA,6,NA,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,NA,NA,NA,NA,NA,62
NA,NA,7,NA,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,NA,NA,NA,NA,NA,5
NA,NA,9,NA,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,NA,NA,NA,NA,NA,22
NA,NA,10,NA,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,NA,NA,NA,NA,NA,8
NA,NA,11,NA,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,NA,NA,NA,NA,NA,12
NA,NA,12,NA,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,NA,NA,NA,NA,NA,100
NA,NA,13,NA,Spiny Dogfish,Squalus acanthias,NA,NA,NA,species,NA,NA,NA,NA,NA,100
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,Turbot,Balistes capriscus,Scophthalmus maximus,Reinhardtius hippoglossoides,Scophthalmus maximus,species,NA,4,4,NA,Y,4
1,Johnston Strait,3,2018-08-02T00:00:00Z,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,NA,1,1,NA,Y,1
1,Johnston Strait,4,2018-08-02T00:00:00Z,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,NA,11,4,NA,Y,100
1,Johnston Strait,6,2018-08-04T00:00:00Z,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,NA,3,3,NA,Y,15
2,Juan de Fuca Strait,8,2018-08-08T00:00:00Z,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,NA,10,5,samples taken for isotopes and FA from different individuals,Y,103
2,Juan de Fuca Strait,8,2018-08-08T00:00:00Z,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,juvenile,1,0,NA,Y,NA
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,large,5,5,NA,Y,NA
2,Juan de Fuca Strait,9,2018-08-08T00:00:00Z,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,small,5,5,samples taken for isotopes and FA from different individuals,Y,NA
2,Juan de Fuca Strait,11,2018-08-10T00:00:00Z,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,large,1,1,NA,Y,NA
2,Juan de Fuca Strait,12,2018-08-11T00:00:00Z,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,juvenile,10,5,samples taken for isotopes and FA from different individuals (because too small),Y,NA
NA,NA,7,NA,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,NA,NA,NA,NA,NA,7
NA,NA,9,NA,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,NA,NA,NA,NA,NA,99
NA,NA,10,NA,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,NA,NA,NA,NA,NA,101
NA,NA,11,NA,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,NA,NA,NA,NA,NA,1
NA,NA,12,NA,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,NA,NA,NA,NA,NA,53
NA,NA,13,NA,Walleye Pollock,Gadus chalcogrammus,NA,NA,NA,species,NA,NA,NA,NA,NA,101
