date,trawl,sample_id,catch_count,species,length_type,length_cm,weight_kg,sex,fa_sample,comments,recorder,fish_processing_personnel,size_class
18-08-01,2,53,33,Neomysis rayii,Total,2.9,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,54,34,Neomysis rayii,Total,2.7,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,55,35,Neomysis rayii,Total,2.7,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,56,36,Neomysis rayii,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,57,37,Neomysis rayii,Total,2.4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,58,38,Pasiphaea pacifica,Total,2.6,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,59,39,Pasiphaea pacifica,Total,2.7,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,60,40,Pasiphaea pacifica,Total,2.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,61,41,Pasiphaea pacifica,Total,2.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,62,42,Pasiphaea pacifica,Total,2.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,63,43,Pasiphaea pacifica,Total,2.4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,64,44,Pasiphaea pacifica,Total,3.7,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,65,45,Pasiphaea pacifica,Total,2.4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,66,46,Pasiphaea pacifica,Total,2.4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,67,47,Pasiphaea pacifica,Total,2.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,68,48,Pasiphaea pacifica,Total,2.4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,69,49,Pasiphaea pacifica,Total,2.4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,70,50,Pasiphaea pacifica,Total,2.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,71,51,Pasiphaea pacifica,Total,2.4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,72,52,Pasiphaea pacifica,Total,2.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,73,53,Pasiphaea pacifica,Total,2.6,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,74,54,Pasiphaea pacifica,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,75,55,Pasiphaea pacifica,Total,2.4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,76,56,Pasiphaea pacifica,Total,2.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,77,57,Pasiphaea pacifica,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,78,58,Pasiphaea pacifica,Total,2.4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,79,59,Pasiphaea pacifica,Total,2.4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,80,60,Pasiphaea pacifica,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,81,61,Pasiphaea pacifica,Total,2.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,82,62,Pasiphaea pacifica,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,83,63,Pasiphaea pacifica,Total,2.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,84,64,Pasiphaea pacifica,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,85,65,Pasiphaea pacifica,Total,2.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,86,66,Pasiphaea pacifica,Total,2.4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,87,67,Pasiphaea pacifica,Total,2.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,88,68,Pasiphaea pacifica,Total,3.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,89,69,Pasiphaea tarda,Total,3.6,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,90,70,Pasiphaea tarda,Total,4.1,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,91,71,Pasiphaea tarda,Total,4.6,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,92,72,Pasiphaea tarda,Total,4.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,93,73,Pasiphaea tarda,Total,3.8,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,94,74,Pasiphaea tarda,Total,5.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,95,75,Pasiphaea tarda,Total,3.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,96,76,Pasiphaea tarda,Total,4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,97,77,Pasiphaea tarda,Total,3.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,98,78,Pasiphaea tarda,Total,3.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,99,79,Pasiphaea tarda,Total,4,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,100,80,Pasiphaea tarda,Total,4.7,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,101,81,Pasiphaea tarda,Total,3.9,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,102,82,Pasiphaea tarda,Total,3.9,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,103,83,Pasiphaea tarda,Total,3.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,104,84,Pasiphaea tarda,Total,3.9,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,105,85,Euphausiid spp,Total,1.9,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,106,86,Euphausiid spp,Total,1.9,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,107,87,Euphausiid spp,Total,2.6,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,108,88,Euphausiid spp,Total,2.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,109,89,Euphausiid spp,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,110,90,Euphausiid spp,Total,2.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,111,91,Euphausiid spp,Total,2.6,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,112,92,Euphausiid spp,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,113,93,Euphausiid spp,Total,1.9,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,114,94,Euphausiid spp,Total,2.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,115,95,Euphausiid spp,Total,2.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,116,96,Euphausiid spp,Total,2.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,117,97,Euphausiid spp,Total,1.9,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,118,98,Euphausiid spp,Total,2.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,119,99,Euphausiid spp,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,120,100,Euphausiid spp,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,121,101,Euphausiid spp,Total,2.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,122,102,Euphausiid spp,Total,2.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,123,103,Euphausiid spp,Total,2.6,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,124,104,Euphausiid spp,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,125,105,Euphausiid spp,Total,2.8,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,126,106,Euphausiid spp,Total,2.2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,127,107,Euphausiid spp,Total,2.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,128,108,Euphausiid spp,Total,2.6,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,129,109,Euphausiid spp,Total,2.1,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,130,110,Euphausiid spp,Total,2,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,131,111,Euphausiid spp,Total,1.5,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,132,112,Euphausiid spp,Total,2.3,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,133,113,Euphausiid spp,Total,2.1,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,134,114,Euphausiid spp,Total,2.1,NA,NA,NA,NA,NA,NA,NA
18-08-01,2,135,115,Euphausiid spp,Total,2,NA,NA,NA,NA,NA,NA,NA
18-08-02,3,136,1,Pacific Herring,Fork,16,0.038,NA,NA,NA,NA,NA,NA
18-08-02,3,137,2,Pacific Herring,Fork,14.6,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,138,3,Pacific Herring,Fork,13.9,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,139,4,Pacific Herring,Fork,13.4,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,140,5,Pacific Herring,Fork,13.3,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,141,6,Pacific Herring,Fork,14.7,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,142,7,Pacific Herring,Fork,13.5,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,143,8,Pacific Herring,Fork,13.1,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,144,9,Pacific Herring,Fork,14.7,0.032,NA,NA,NA,NA,NA,NA
18-08-02,3,145,10,Pacific Herring,Fork,13.9,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,146,11,Pacific Herring,Fork,13.7,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,147,12,Pacific Herring,Fork,14.6,0.032,NA,NA,NA,NA,NA,NA
18-08-02,3,148,13,Pacific Herring,Fork,13,0.02,NA,NA,NA,NA,NA,NA
18-08-02,3,149,14,Pacific Herring,Fork,14,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,150,15,Pacific Herring,Fork,12.8,0.02,NA,NA,NA,NA,NA,NA
18-08-02,3,151,16,Pacific Herring,Fork,13.6,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,152,17,Pacific Herring,Fork,16.6,0.048,NA,NA,NA,NA,NA,NA
18-08-02,3,153,18,Pacific Herring,Fork,14.8,0.032,NA,NA,NA,NA,NA,NA
18-08-02,3,154,19,Pacific Herring,Fork,14.5,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,155,20,Pacific Herring,Fork,14,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,156,21,Pacific Herring,Fork,13.7,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,157,22,Pacific Herring,Fork,14.1,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,158,23,Pacific Herring,Fork,13.5,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,159,24,Pacific Herring,Fork,14.2,0.032,NA,NA,NA,NA,NA,NA
18-08-02,3,160,25,Pacific Herring,Fork,14.6,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,161,26,Pacific Herring,Fork,13.3,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,162,27,Pacific Herring,Fork,13.4,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,163,28,Pacific Herring,Fork,14.2,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,164,29,Pacific Herring,Fork,15.1,0.036,NA,NA,NA,NA,NA,NA
18-08-02,3,165,30,Pacific Herring,Fork,13.5,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,166,31,Pacific Herring,Fork,13,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,167,32,Pacific Herring,Fork,15,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,168,33,Pacific Herring,Fork,14.5,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,169,34,Pacific Herring,Fork,14.8,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,170,35,Pacific Herring,Fork,14.3,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,171,36,Pacific Herring,Fork,15.9,0.042,NA,NA,NA,NA,NA,NA
18-08-02,3,172,37,Pacific Herring,Fork,14.5,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,173,38,Pacific Herring,Fork,14.2,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,174,39,Pacific Herring,Fork,13.1,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,175,40,Pacific Herring,Fork,13.9,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,176,41,Pacific Herring,Fork,15.2,0.034,NA,NA,NA,NA,NA,NA
18-08-02,3,177,42,Pacific Herring,Fork,14.9,0.032,NA,NA,NA,NA,NA,NA
18-08-02,3,178,43,Pacific Herring,Fork,14,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,179,44,Pacific Herring,Fork,13.3,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,180,45,Pacific Herring,Fork,13.4,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,181,46,Pacific Herring,Fork,13.1,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,182,47,Pacific Herring,Fork,15.7,0.038,NA,NA,NA,NA,NA,NA
18-08-02,3,183,48,Pacific Herring,Fork,13.7,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,184,49,Pacific Herring,Fork,14.7,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,185,50,Pacific Herring,Fork,15.1,0.034,NA,NA,NA,NA,NA,NA
18-08-02,3,186,51,Pacific Herring,Fork,14.7,0.034,NA,NA,NA,NA,NA,NA
18-08-02,3,187,52,Pacific Herring,Fork,14.1,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,188,53,Pacific Herring,Fork,13.4,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,189,54,Pacific Herring,Fork,15.2,0.034,NA,NA,NA,NA,NA,NA
18-08-02,3,190,55,Pacific Herring,Fork,14.2,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,191,56,Pacific Herring,Fork,14,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,192,57,Pacific Herring,Fork,16,0.038,NA,NA,NA,NA,NA,NA
18-08-02,3,193,58,Pacific Herring,Fork,14.4,0.032,NA,NA,NA,NA,NA,NA
18-08-02,3,194,59,Pacific Herring,Fork,14.2,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,195,60,Pacific Herring,Fork,13.1,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,196,61,Pacific Herring,Fork,13.5,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,197,62,Pacific Herring,Fork,13.5,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,198,63,Pacific Herring,Fork,14.5,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,199,64,Pacific Herring,Fork,13.2,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,200,65,Pacific Herring,Fork,13.2,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,201,66,Pacific Herring,Fork,18,0.062,NA,NA,NA,NA,NA,NA
18-08-02,3,202,67,Pacific Herring,Fork,17.2,0.05,NA,NA,NA,NA,NA,NA
18-08-02,3,203,68,Pacific Herring,Fork,15.2,0.038,NA,NA,NA,NA,NA,NA
18-08-02,3,204,69,Pacific Herring,Fork,13.2,0.02,NA,NA,NA,NA,NA,NA
18-08-02,3,205,70,Pacific Herring,Fork,15,0.032,NA,NA,NA,NA,NA,NA
18-08-02,3,206,71,Pacific Herring,Fork,13.1,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,207,72,Pacific Herring,Fork,14.7,0.032,NA,NA,NA,NA,NA,NA
18-08-02,3,208,73,Pacific Herring,Fork,14.5,0.032,NA,NA,NA,NA,NA,NA
18-08-02,3,209,74,Pacific Herring,Fork,14.1,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,210,75,Pacific Herring,Fork,13.8,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,211,76,Pacific Herring,Fork,13.5,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,212,77,Pacific Herring,Fork,14.4,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,213,78,Pacific Herring,Fork,14,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,214,79,Pacific Herring,Fork,13.8,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,215,80,Pacific Herring,Fork,13.7,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,216,81,Pacific Herring,Fork,12.7,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,217,82,Pacific Herring,Fork,13.3,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,218,83,Pacific Herring,Fork,13.1,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,219,84,Pacific Herring,Fork,13.3,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,220,85,Pacific Herring,Fork,13.7,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,221,86,Pacific Herring,Fork,12.7,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,222,87,Pacific Herring,Fork,14.6,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,223,88,Pacific Herring,Fork,13.1,0.02,NA,NA,NA,NA,NA,NA
18-08-02,3,224,89,Pacific Herring,Fork,13,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,225,90,Pacific Herring,Fork,14.1,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,226,91,Pacific Herring,Fork,14.8,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,227,92,Pacific Herring,Fork,13.6,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,228,93,Pacific Herring,Fork,14.3,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,229,94,Pacific Herring,Fork,15,0.034,NA,NA,NA,NA,NA,NA
18-08-02,3,230,95,Pacific Herring,Fork,13.5,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,231,96,Pacific Herring,Fork,14.3,0.032,NA,NA,NA,NA,NA,NA
18-08-02,3,232,97,Pacific Herring,Fork,13.5,0.026,NA,NA,NA,NA,NA,NA
18-08-02,3,233,98,Pacific Herring,Fork,13.9,0.028,NA,NA,NA,NA,NA,NA
18-08-02,3,234,99,Pacific Herring,Fork,13.8,0.03,NA,NA,NA,NA,NA,NA
18-08-02,3,235,100,Pacific Herring,Fork,13.2,0.024,NA,NA,NA,NA,NA,NA
18-08-02,3,236,101,Walleye Pollock,Total,38.9,0.558,NA,NA,NA,NA,NA,NA
18-08-02,3,237,102,Spiny Dogfish,Total,32.7,0.154,F,NA,NA,NA,NA,NA
18-08-02,3,238,103,Spiny Dogfish,Total,54.5,0.652,F,NA,NA,NA,NA,NA
18-08-02,3,239,104,Lion's Mane Jelly,Total,NA,2.556,NA,NA,shredded by trawl,NA,NA,NA
18-08-02,3,240,105,Water Jelly,Total,6.4,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,241,106,Pacific Herring,Total,14,0.024,NA,Y,**check with Wade,NA,NA,NA
18-08-02,3,242,107,Pacific Herring,Total,14.1,0.028,NA,Y,**check with Wade,NA,NA,NA
18-08-02,3,243,108,Night Smelt,Total,15.3,0.028,NA,NA,**check with Wade,NA,NA,NA
18-08-02,3,244,109,Eulachon,Fork,14.6,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,245,110,Eulachon,Fork,14.2,0.022,NA,NA,NA,NA,NA,NA
18-08-02,3,246,111,Eulachon,Fork,10.6,NA,NA,NA,NA,NA,NA,NA
18-08-02,3,247,112,Eulachon,Fork,10.2,NA,NA,NA,NA,NA,NA,NA
18-08-02,3,248,113,Eulachon,Fork,9.8,NA,NA,NA,NA,NA,NA,NA
18-08-02,3,249,114,Eulachon,Fork,9,NA,NA,NA,NA,NA,NA,NA
18-08-02,4,250,1,Coho Salmon,Fork,63.1,3.188,M,Y,NA,NA,NA,NA
18-08-02,4,251,2,Pacific Hake,Total,47.5,0.774,NA,Y,NA,NA,NA,NA
18-08-02,4,252,3,Pacific Herring,Fork,10.5,0.01,NA,NA,NA,NA,NA,NA
18-08-02,4,253,4,Pacific Herring,Fork,14.6,0.028,NA,NA,NA,NA,NA,NA
18-08-02,4,254,5,Pacific Herring,Fork,13.7,0.02,NA,NA,NA,NA,NA,NA
18-08-02,4,255,6,Pacific Herring,Fork,14,0.026,NA,NA,NA,NA,NA,NA
18-08-02,4,256,7,Pacific Herring,Fork,13.5,0.022,NA,NA,NA,NA,NA,NA
18-08-02,4,257,8,Pacific Herring,Fork,14.1,0.026,NA,NA,NA,NA,NA,NA
18-08-02,4,258,9,Pacific Herring,Fork,10.1,0.008,NA,NA,NA,NA,NA,NA
18-08-02,4,259,10,Pacific Herring,Fork,13.5,0.022,NA,NA,NA,NA,NA,NA
18-08-02,4,260,11,Pacific Herring,Fork,12.6,0.02,NA,NA,NA,NA,NA,NA
18-08-02,4,261,12,Capelin,Fork,9.2,NA,NA,NA,NA,NA,NA,NA
18-08-02,4,262,13,Spiny Dogfish,Total,63.8,0.898,M,NA,NA,NA,NA,NA
18-08-02,4,263,14,Spiny Dogfish,Total,83.7,1.93,M,NA,NA,NA,NA,NA
18-08-02,4,264,15,Spiny Dogfish,Total,64.1,0.904,M,NA,NA,NA,NA,NA
18-08-02,4,265,16,Spiny Dogfish,Total,52.8,0.528,M,NA,NA,NA,NA,NA
18-08-02,4,266,17,Spiny Dogfish,Total,30.2,0.13,F,NA,NA,NA,NA,NA
18-08-02,4,267,18,Spiny Dogfish,Total,50.2,0.452,M,NA,NA,NA,NA,NA
18-08-02,4,268,19,Spiny Dogfish,Total,64.6,1.1,F,NA,NA,NA,NA,NA
18-08-02,4,269,20,Spiny Dogfish,Total,48,0.448,M,NA,NA,NA,NA,NA
18-08-02,4,270,21,Spiny Dogfish,Total,35.2,0.186,F,NA,NA,NA,NA,NA
18-08-02,4,271,22,Spiny Dogfish,Total,53.8,0.602,F,NA,NA,NA,NA,NA
18-08-02,4,272,23,Spiny Dogfish,Total,57.1,0.704,F,NA,NA,NA,NA,NA
18-08-02,4,273,25,Walleye Pollock,Total,42.2,0.762,NA,NA,No sample for count 24,NA,NA,NA
18-08-02,4,274,26,Walleye Pollock,Total,24.4,0.11,NA,NA,NA,NA,NA,NA
18-08-02,4,275,27,Walleye Pollock,Total,34.3,0.298,NA,NA,NA,NA,NA,NA
18-08-02,4,276,28,Walleye Pollock,Total,35.6,0.398,NA,NA,NA,NA,NA,NA
18-08-02,4,277,29,Walleye Pollock,Total,40.8,0.5,NA,NA,NA,NA,NA,NA
18-08-02,4,278,30,Walleye Pollock,Total,36.4,0.428,NA,NA,NA,NA,NA,NA
